Word Meaning in English | Agri Related
--- | ---
illegible | 0
illicit | 0
illustration | 0
imminent | 0
immoral | 0
impediment | 0
implements | 1
Minde | 0
in a consequence of | 0
in skirt | 0
incantations | 0
incense | 0
income | 0
increase,growth | 1
Indian beech tree | 1
indifference | 0
industrial | 1
interest | 0
infamy | 0
infancy | 0
inflammation | 0
inflammation of the pharynx | 0
information | 0
inhabitant | 0
iniquity | 0
injection | 0
injury | 0
injustice | 0
inner seed | 1
insistence | 0
inspiration | 0
instruction | 1
instruments | 1
insurance | 0
intelligence | 0
palate | 0
ତୁରୁଞି | 0
ମିନ୍ଦର୍\u200c | 0
intestine | 1
finger | 0
ପେର୍କେଟାଦ୍\u200c | 0
intimacy | 0
ମାନ୍ଦାନାଦ୍\u200c | 0
invention | 0
ତାୟାର୍\u200c ମାଡ଼ି | 0
crime | 0
ତୋନାଗା ମାଟ୍ଟା ତାଲ୍\u200c | 1
କାନାଦ୍\u200c | 0
ପାନାଦ୍\u200c | 0
jackal | 1
jackfruit-tree | 1
involvement | 0
irritability | 0
jealousy, envy | 0
4୧5୮,¶୦1୧୭ | 0
jester | 0
Jesus | 0
ଞ୍ଡ଼ୁ ପିସାନୋଣ୍ଡ-ପାରାମେଶ୍ବାରି ନ୍ମାର୍ | 0
jingle of coins | 0
it | 0
it's | 0
itches, scabies | 0
ଗଙ୍କାନାଦ୍\u200c, ଦୁଲ୍\u200c ଞେୟ୍\u200c, ସମିନ୍ଦେ, ତୁୟାନାଦ୍\u200c | 1
joker | 0
jostling, rubbing | 0
ତୁରୁସାନାଦ୍\u200c, ଆଚ୍ଚାନାଦ୍\u200c | 0
journey | 0
jubilation | 0
judge | 0
jug | 0
juice | 1
jujube | 1
junction | 0
kettle | 0
key | 0
jungle deer | 1
jungle roots | 1
kidney, urinary bladder | 1
1005 | 0
killer, murderer | 0
kind of a deer | 1
kind of frog in hollow | 1
kind of frog in house | 1
kind of insect | 1
kind of spider | 1
kind of vegetable | 1
ରି ଡଣା କାୟା | 0
kind of disease | 0
ତୋପିସାନାଦ୍\u200c | 0
କେତାନାଦ୍\u200c | 0
kind | 0
ପାଣ୍ଡୁମ୍\u200c | 0
