| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| pillā        | Noun           | ତାପ୍‌ ତେ         |
| illicit      | Noun           | ତାପ୍‌ ପୁ ,କାରାପ୍‌ |
| illustration | Noun           | କାଭା,ଞେସୋଡ଼୍‌, କାରା କେଚ୍ଚୋରେ ମାଟା ବୋଦିସାନାଦ୍‌ |
| image        | Noun           | PEA, QEMIA,AQ ତି |
| immature     | Adjective      | IQQ ଆୟ୍‌ QCIF, GIA ସ୍‌ ଲେକେ ବୁଦି ଇଲ୍‌ ଞ୍ରୋଣ୍ଡ |
| immediately  | Adjective      | ଞେଣ୍ଟ୍େନେ ଆସ୍‌ କେ ଆସ୍‌ କେ |
| imminent     | Noun           | ଦାଗେର୍‌ ଏଏ୍‌ସୋମିନ୍ଦେ |
| immoral      | Noun           | ଗାଲ୍‌ ଗାଲ୍‌ ଉଡାନୋନ୍‌,ଗାଲି, ପାପ୍‌ ପାମ୍‌ ତାପ୍‌ ପୁ ମାଡ଼ାନୋଣ୍ଟ, |
| immoral/immorality | Adjective | କାରାପ୍‌ |
| immortal     | Adjective      | ବେସ୍‌ କେ ବାରେ ବାତ୍‌ କାନାଦ୍‌ |
| immovable    | Adjective      | .16/66//+& ଗାଟିଙ୍‌,ଉଙ୍ଗ କଟେ,ମେଦୁଲା କୁଟେ,ଆଙ୍ଗ୍‌ କଟେ ମାନ୍ଦାନାଦ୍‌ |
| impatient    | Adjective      | .1776€/7× ଦେୟିରାଙ୍୍‌ ଇଲୁକୁଟାମ୍‌ |
| impediment   | Noun           | ଆଡାମ୍‌ |
| implements   | Noun           | କାୟ୍‌ ଦେ Fle ତା ସାମାନ୍‌ |
| impolite     | Adjective      | ନେମ୍‌ MIG ଇଲୁକୁଣ୍ଟାମ୍‌,ଦାନ୍ଦା ପୟ୍‌ ଭାନାଦ୍‌ |
| impure       | Adjective      | ଆଡ଼ଗୋଲ୍୍‌,ସାୟ୍‌ MER |
| impure water in pond | Noun   | NQY Sle ପେରୀ  |
