| English Word | Part of Speech | Odia Translation |
| --- | --- | --- |
| fruit-stone | Noun | ପାଣିନ୍‌ ଟେକା |
| fry | Noun | ତଲ୍‌ କା AE ସାନାଦ୍‌ |
| frying pan,sauce fan | Noun | କଡ଼େଇ,କିଲା,କାଡ଼େଲ୍‌ |
| fulfillment | Noun | ସୁମାର୍‌ ଆତ୍‌,ଆତା |
| full | 47/୮୫ ନିଟ୍‌ ଟାତ୍‌ GIA ଗୁମ୍‌ କେ,କାଡ଼ କେ |
| full hand shirt | Noun | ଡାଣ୍ଡା |
| full saree | Noun | @Q ଓାଟିତା |
| fullness | Noun | $4,89 ମାନ୍ଦାନାଦ୍‌ |
| garlic | Noun | କର୍‌ ଉଲି,ମାତ୍‌ ଭଲ୍‌ ପାୟା,ଞେଲ୍‌ ଉଲୁପାୟା |
| gas | Noun | ଗାଲ୍‌ |
| gas trouble | Noun | @Q କା ପସ୍‌ ଆସ୍‌ ମାନ୍ଦାନାଦ୍‌-ଗୁଣ୍ଡି ଡେୱା. ମିନ୍ଦେ,ଦୋଡ଼ା ଆଗୁଁଣ୍ଟେ ମାନ୍ଦାନାଦ୍‌ |
| gastric | Adjective | AGAR ତା,ଉବ୍ରାଙ୍ଗ୍‌ ମିନ୍ଦେ |
| gate | Noun | BAIR FER ମାନ୍ଦାନ୍‌ ଗୁମ୍ମାମ୍‌ |
| gatekeeper | Noun | ଗୁମ୍ମାମ୍‌ ତା ନିଲ୍‌ ସ୍‌ ମାଞ୍ଜ୍‌ AI ଉଡ଼ାନୋଣ୍ଡ |
| gaze | N/A | ୮୮୮୬. AIG କି ଉଡ଼ୋମିନ୍ଦେ |
| gecko | Noun | ଡକେ |
| genealogy | Noun | ଦାଦୋଡ଼୍‌ ପେପୀଡ଼୍‌ ଲୋତା ପେଦେର୍‌ |
| generally | Adverb | ସାଦା ,ମାମୂଲ୍‌ |
| generation | Noun | @@ |
| genius | Noun | ମେଲ୍‌ ତା ବୁଦି |
| gentile | Adjective | CID, GEIR |
