| Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| to frighten | Transitive verb | ଷେର୍‌ ପିସାନାଦ୍‌ |
| to fry on the fire | Transitive verb | କିଶ୍‌ ଏରସ୍କାନାଦ୍‌ |
| to fry, grill | Transitive verb | ଏାତାନାଦ୍‌ |
| to gather | Transitive verb | ଉଡ଼ପାନାଦ୍‌ |
| to get down | Intransitive verb | ନେଲ୍‌ SIA |
| to get up | Intransitive verb | ତେଦାନାଦ୍‌ |
| to get up in the morning | Verb | ସେର୍ଷେକେ ତେଦାନାଦ୍‌ |
| to give | Transitive verb | ଇଦାନାଦ୍‌ |
| to glitter(gold) | Intransitive verb | ତିଲ କ୍‌ ତାଲ୍‌ କ୍‌,ଜିକ୍‌ ଜାକ୍‌ |
| to glitter(lightning) | Intransitive verb | ମାବ୍‌ ମେର୍ସାନାଦ୍‌ |
| to go | Intransitive verb | ଆନ୍ଦାନାଦ୍‌ |
| to gore as bull | Transitive verb | ଲୁମାନାଦ୍‌ |
| to gore with horns | Transitive verb | କଟାନାଦ୍‌,କଡ଼୍‌ କ୍‌, କଟିତ୍‌ |
| to graze | Transitive verb | ମେୟାନାଦ୍‌ |
| to grind | Transitive verb | ନୂରାନାଦ୍‌ |
| to grow,big,great | Intransitive verb | ପେର୍ସାନାଦ୍‌ |
| to hands down | Intransitive verb | କାୟ୍‌ BE ସ୍‌ ଓାଟାନାଦ୍‌, କାୟ୍‌ ଡିପ୍‌ ପା |
| to hatch eggs | Transitive verb | AQ ବାମ୍‌ କାର୍‌ ଓଲାନାଦ୍‌ |
| to hear | Transitive verb | କେଞ୍ଜାନାଦ୍‌ |
| to 1106 | Iztransitive | - |
