| English Word | Part of Speech | Odia Translation |
| --- | --- | --- |
| retinue | Noun | ସାଙ୍ଗେ ସାଙ୍ଗେ ଓଦାନୋର୍‌ |
| retum | Verb | ମାଲସିଆନ୍ଦାନାଦ୍‌, ମାଲ୍‌ ତାନାଦ୍‌ |
| return back,repay | Verb | ମାଲ୍‌ ସି ଭଦାନାଦ୍‌ |
| revelation,expression | Noun | ତୋପିସାନାଦ୍‌ |
| revenge | Noun | NE, ଭର୍‌ ତତାନାଦ୍‌ |
| reverence | Noun | ମାରିୟାଦା, ବାଲି |
| revolt,mutiny | Noun | ସିରୋଦାମ୍‌, ତେ ଦେସେମ୍‌ ସେଙ୍ଗେ ପୋଲେଶ୍‌ ନାରୂର୍‌ ଗୂଡ଼ାନାଦ୍‌ |
| revolving,rotating | Verb | IQ GQ ଉଡ଼ାନାଦ୍‌ |
| reward | Noun | ମେଲ୍‌ ତା ପାଡ଼ିୟ୍‌, ସେଙ୍ଗେ ସାମାନ୍‌ ଭଦାନାଦ୍‌ |
| rheumatism | Noun | ଖୂଲି ନୋପ୍‌ ପୁ |
| rhinoceros | Noun | ଭରେଲ୍‌ |
| rib | Noun | ପାକ୍‌ କା ବୁଲା, ଆଡ଼ା ବୁଲା |
| rice | Noun | Q@ |
| rice beer | Noun | ଲାନ୍ଦା |
| rice flakes | Noun | GIG |
| rice food | Noun | ଚାକୂର୍‌ |
| rice porridge | Noun | ଜାୱ୍‌, ଜାଏ|
| rich | Noun | ନାର୍ଗେ ସମ୍‌, ସାନ୍‌ ସ୍ରାମ୍‌ |
| rich man | Adjective | AIGRIQ |
| rid | Verb | @QOAIGIQ |
| riddle | Noun | ସିପାନାଦ୍‌ |
| ride | Verb | ବାଣି ତୋଲାନାଦ୍‌ |
| ride ୦୮ | Verb | JQ ରାମ୍‌ ତ୍‌ ତାର୍ରାନାଦ୍‌ |
| ridge gourd | Noun | ବିର୍‌ କାୟ୍‌ |
| ridicule,mimicry | Noun | ମିତୁକାନାଦ୍‌ |
