| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| don't tell | Verb | ମା |
| don't want | Interjection | କେଲ୍‌ ମା |
| donor | Noun | ଦର୍କାର୍‌ |
| don't you drink? | Verb | ଇଲ୍ଲେ |
| don't you go? | Verb | ଉନିନା |
| donkey | Noun | ଆନ୍‌ a PARR? |
| donor | Noun | ଗାଡ଼୍‌ ଦେ |
| door | Noun | ମେଲ୍‌ Gl AIGA ସେଙ୍ଗେ ଇଷ୍ଟାମ୍‌ ତେ GI କ୍‌ ଭଦାନୋର୍‌ |
| door | Noun | ତାଲୁପୁ, ମାର୍‌ , ଗୁମ୍ମାମ୍‌ |
| dose | Noun | ମାତ୍ରା,ଗୋଲି |
| dot,small round mark or spot | Noun | ବଟ୍‌ ଓାଟା ,ଚୂକ୍‌ କା |
| dot's | Noun | ଆନେ ଓନେ |
| doubt | Noun | ସେରେ ଆଲ୍‌ ପ୍‌ ,ଡ଼ାୱ ଟ୍‌ ` |
| doubtful | Noun | ସନ୍ଦେହ,ନାମ୍‌ ଜାଲ୍‌ ,ନାମ୍‌ କାମ୍‌ AQ GI ମାଟା |
| dove | Noun | ପଡ଼େପିଟେ |
| dove star | Noun | ପଡ଼େ AR la |
| dove,pigeon | Noun | ପଡ଼େ-ପିଟେ |
| dove-hole | Noun | dial ପିଟେନ୍‌ ଗୃଡ଼ା |
| down |  | ୮୮୮. ଇଡ଼ିପେ |
| down fall | Noun | MIE AGIA |
| down,floor | Noun | ନେଲ୍‌ |
| dowry | Noun | କାଟନାମ୍‌ |
| drag,pull | Verb | MAGI, MIS CB |
| dragging | Verb | ମେଲ୍‌ ଲି ମେଲ୍‌ ଲି ଲାଗମିନ୍ଦୋର୍‌, ଜୋଦାନାଦ୍‌ |
| dragon bird | Noun | ଆସ୍‌ ପିଟେ |
| dragon fly | Noun | ଗୁଗେ ବିଭୋ |
