| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| good fruit yielded | Adverb | ମେଲ୍‌ |
| ତା AIA ଆସ୍‌ ମାତା | | |
| good path | Adjective | ନାଲ୍ଲୋଡ଼ାଦ୍‌-ଆର୍‌ |
| ମେଲ୍‌ ତା ଆର୍‌ | | |
| good,nice | Adjective | AIR ଚି,ମେଲ୍‌ ତା,ନାଲ୍ଲା,ସାୟା |
| goose | Noun | AlEG ବାକ୍‌ |
| gospel | Noun | ମେଲ୍‌ ତା କାବୂର୍‌ |
| gossip | Verb | ଆପୁନାମେ ଗଟି ଞେଚାନାଦ୍‌ |
| got wet | Verb | ନାନ୍ଦିଆତା |
| gourd | Noun | ଗୁମଡ଼ କାୟା |
| government officer, worker | Noun | ପାଇକାଲ୍‌, ପାଡ଼ିୟ୍‌ ତୁଙ୍ଗାନୋର୍‌ |
| governor | Noun | ଅଡ଼ି ଶା ଲେକେ ଦେସାମ୍‌ ତିନ୍‌ ସାଲାକୀଦାନୋଣ୍ତ |
| grabbed,choke him | Verb | ସାଟ୍‌ କେ ଗନ୍‌ କିନ୍‌ AA ସି ନୋକିତୋର୍‌ |
| gracious,grace | Noun | ସାୟାମ୍‌,ସାୟ୍‌ ଉଡ଼ାନାଦ୍‌ |
| gradual sinking | Verb | ଏାତି ଆନ୍‌ @ ମିନ୍ଦେ |
| gradually | Adverb | 6@Q ଜେୟ୍‌ ତାର୍ରାନଦ୍‌ |
| grains | Noun | ଏନପେଣ୍ଟକ୍‌,ପେଡେକ୍‌, ଆଞ୍ଚିଏନ୍‌ କ୍‌ |
| grand children | Noun | ନାଭି ,ମାନ୍‌ ମାୟାଡ୍‌ |
| grand daughter son's daughter | Noun | ଏଲାଡ଼୍‌,ପେପିନ୍‌ ମାୟାଡ଼୍‌ |
| grand daughter,sons | | |
