| English Word | Part of Speech | Odiya Translation |
| --- | --- | --- |
| every month | Adverb | AGA ନେଲ୍‌ |
| everyone | Adverb | ସାର୍ରେତୋର୍‌ |
| everywhere | Adverb | AIGA ପାକ୍‌ କା |
| evil | Noun | ନାଷ୍ଟାମ୍‌, କାରାପ୍‌ |
| evil spirit | Adjective | ପେଉାର୍‌ |
| evil work | Noun | ଚେଡିଭାନାମ୍‌, କାରାପ୍‌ AIS |
| ewe | Noun | ଡାଡା ମେଣ୍ଡା |
| exactly | Adverb | ଟୀକ୍‌ ଆଦେ ଲେକାମ୍‌ |
| exaggerate | Noun | [/⁄⁄. ବୁକ୍‌ କାର୍‌ ମାଡ଼ାନାଦ୍‌ |
| exalt | Verb | ୮୪୮୮. ମେଲ୍‌ ତା ପଡ଼ିୟ୍‌ ତା ଓଟାନାଦ୍‌ CAR ତାତୁଙ୍ଗାନାଦ୍‌ |
| 40055 | Noun | ମିଗାଲ୍‌ ତ୍୍‌,ନାର୍ଗେ |
| exchange | Verb | ମାର୍ସାନାଦ୍‌ |
| excuse | Noun | କ୍ଷମା,ଞିତୃସିଦାନାଦ୍‌ |
| execute | Verb | କୁଶ୍‌ ଓଢୁଶ୍‌ ତୋର୍‌-ପାଶି ଞୋଭୋର୍‌ |
| exhaustion | Noun | ଆୟ୍‌ ge |
| face | Noun | ମକମ୍‌ |
| face to face | Adjective | ମୋକ୍‌ କାମ୍‌ ମୋକ୍‌ କାମ୍‌ |
| facility | Noun | ଦର୍କାନ୍‌ ମେଲ୍‌ ତା ସାମାୟାମ୍‌ |
| fade | Noun | ୮୮୮. 6M ସି ଆତ୍‌,ଅଡ଼୍‌ ଙ୍ଗିତ୍‌ |
| fail | Verb | MOR ଲେ-ଆରିୟିତ୍‌-ଜୀଡିଲ୍‌ ଲେ |
| failure | Noun | ଓଡ଼ି ଆତ୍,ଆରି ଆନ୍ଦାନାଦ୍‌ |
| fainting | Noun | ?/୨//.. ମୋକ ବେଦ୍‌ ରୋରେ |
