| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| ସୀଟ୍‌ | Noun | ରାଶି ମାନ୍ଦାନାଦ୍‌ |
| cover | Verb | ମୁଚଢାନାଦ୍‌ ,କାପଡ୍‌ |
| cover of vessel,cover-pot | Noun | ସିପେ।ମୁନ୍ତା |
| cow dung | Noun | ପେଣ୍ଠ AE |
| cow dunk cake | Noun | ଗୋମେରା |
| cow herd | Noun | ଗଡ଼୍‌ କ୍‌ ବାକ୍‌ କା, ମେତାନୋଣ୍ଡ |
| cow lows | Noun | ଗୋଡ଼କି ଭା ଭା, ଇଞ୍ଜେ କେୟିତା |
| cow milk | Noun | AE Alm |
| COW,COWS | Noun | AE ,ବାକ୍‌,ଗଡ୍‌ କ୍‌,ବାକ୍‌ କା |
| coward | Noun | GF ସାଣ୍ତ |
| cowardice | Noun | ସେର୍ଦାନୋନ୍‌ |
| cowardly | Adjective | ବାୟାଲ୍‌ |
| cowherd | Noun | ଗଲାଲ୍‌ |
| cowshed | Noun | ଡ଼ଡ୍‌-କଟ୍ରାମ୍‌ |
| ୦୮୩୬ | Noun | ଏଟି |
| crack, fissure | Verb | କାଲ୍‌ GQ ତା |
| cracks | Noun | ଟାପାକାୟା |
| craftiness | Noun | ବଲିସାନାଦ୍‌ |
| crane | Noun | ଗାଣ୍ଡି କଙ୍ଗା |
| craving | Noun | ନାର୍ଗେ ଇଷ୍ଟାମ୍‌, ମାଡ଼ାନାଦ୍‌ |
| crawl, creep | Intransitive verb | ଆକୋମିନ୍ଦେ(ପେଭେ), ala ମିନ୍ଦେ |
| crawling, crooked | Verb | @@ ଓାଙ୍କ ଆନ୍‌ ଜ ମିନ୍ଦେ |
| create | Verb | ତାୟାର୍‌ ତୁଙ୍ଗା,ମାଡ଼ା |
| creator | Noun | ଦେହୁନ, ବାଗାୱାନ୍‌,ଦେ |
