| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| heart, mind | Noun | ଲୋକ, ମନସ୍ଥିତି |
| heartburn | Verb | ମାଣ୍ଡୋମିନ୍ଦେ |
| hearty laugh | Noun | ସାୟ୍‌ |
| heat | Noun | ଏସ୍‌ ସେର୍‌, କାପ୍‌, ପାନାଦ୍‌, କାଶ୍‌ ଭା |
| heat boil | Noun | ବାମ୍‌ ବଗ୍‌ ଗା, ବଣ୍ଠିୟା |
| heat of the sun | Noun | ଏଦ୍‌ |
| heat the water | Verb | ଏର୍‌ କାପା |
| heaven | Noun | ପରା, ମାବ୍‌, ସ୍ବାର୍ଗାମ୍‌, ସ୍ବାର୍ଗାରାଜ୍ୟାମ୍‌ |
| heaven( opened) | Noun | ମାବ୍‌, ବାଙ୍ଗ୍‌ ମିନ୍ଦେ |
| heavenly bodies | Noun | ଲିଙ୍ଗ |
| heavenly body to rise | Intransitive verb | ପେତାନାଦ୍‌ |
| heavy | Adjective | ଭାରୀ |
| hedge | Noun | ଆଡାମ୍‌ |
| heel | Noun | ମାଡ଼ମେ |
| height | Noun | ଡେଙ୍ଗା, ଏତାନାମ୍‌, ଏତ୍‌ |
| height, tall | | ଡେଙ୍ଗା, ଏତାନାମ୍‌ |
| hell | Noun | କିଶ୍‌ କୁଣ୍ଡା, ନାର୍କାମ୍‌ |
| hen | Noun | ପେଟା କର୍‌ |
| hence, from here | Adverb | ଇଗ୍‌ ଗା, ନୁଞ୍ଜିକକୁଞ୍ଚି |
| henceforth | Adverb | ଆଗେ |
| her | Pronoun | ଦାନାଦ୍‌ |
| herself | Pronoun | ଆଦେ ଆସ୍‌ |
| her, it's | Pronoun | ଦାନି ନ୍‌, ଦାନାଦ୍‌ |
| here | | ଏଦେ |
| here and there | Adverb | ଆଗେ, ମେଘ, ପଶ୍ଚିମ |
| here with | Adverb | |
