| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| luck         | Noun           | ଆଡୁଷ୍ଠାମ୍‌        |
| luffa acutangula | Noun  | Sal କାୟା |
| luggage | Noun | A! |
| lumbago | Noun | Ada ନପ୍‌ |
| lunar eclipse | Noun | 6ERIGR |
| ଗାଣ୍ଡୁମ୍‌ | Noun | Ag ଭା |
| lunch | Noun | ପାୟାଲ୍‌ ଦୋଡ଼ା |
| lungs | Noun | ନେଲା |
| lust | Noun | ପୀନ୍ଦା ଇଷ୍ଟାମ୍‌ |
| lust,longing for eat | Noun | ମିଙ୍ଗ୍‌ |
| ତା ମିଙ୍ଗ୍‌ ତା ତାଗଲ ମିନ୍ଦେ | N/A | N/A |
| lustre | Noun | ଷେଶ୍‌ ,ଞେନ୍ତେଲ୍‌ |
| ତୋପାନାଦ୍‌  | N/A | N/A |
| make known well | Verb | ବୋଦିସାନାଦ୍‌,କାର୍‌ |
| ପିସାନାଦ୍‌ | Verb | N/A |
| make of | N/A | ପୁନ୍ଦାନାଦ୍‌ |
| make off | Noun | ଦାନ୍ଦା ପୟ୍‌ ସି ସିଟ୍‌, ପାଟ୍‌ ଆନ୍ଦାନାଦ୍‌ |
| make open | Verb | ପାଙ୍କାନାଦ୍‌ |
| make over | Verb | ଅପ୍‌ ପିଦାନାଦ୍‌ |
| make stand | Verb | ନିଲ୍‌ ପିସାନାଦ୍‌ |
| make up | Verb | AR IE ଭଦାନାଦ୍‌, |
| making hair like hairdo | Noun | ତାଲାତ୍‌ ଜାଡ଼ା IR, ଓାଟାନାଦ୍‌ |
| malaria | Noun | ମାଲେରିୟା ନୁଲ୍ଲେନ୍‌, ଏଡ଼୍‌ କ୍‌ |
| male child | Noun | ସେଲୋଲ୍୍‌,ପିକି |
| male of sheep | Noun | ପୋତ୍‌ |
