| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| right | Noun | ଆଦିକାରାମ୍‌ |
| -4766/7× ତିନା ପାକ୍‌ କା | N/A | N/A |
| right hand | Noun | ତିନ୍ନାକାୟ |
| right leg | Noun | ତିନ୍ନାଗାଲ୍‌ |
| righteous | Noun | ଦାର୍ମାମ୍‌ ତେ ,ନୀତିଗ୍‌ ମାନ୍ଦାନୋଣ୍ଡ,ନିୟାମ୍‌ ପୟ୍‌ ଶି ମାନ୍ଦାନୋଣ୍ଡ |
| righteousness | Adjective | ନିଜାମ୍‌ ତେ ମାନ୍ଦାନାଦ୍‌ |
| rightly served,done | Adverb | ସାୟା ତୁଙ୍୍‌ ତୀନ୍‌ |
| rim | Noun | GONE ମୁଲା |
| rind,skin ,peel come off | Noun | ତଲ୍‌ କା AA ଭା ରୋଗାମ୍‌ |
| ring | Noun | @IQ ମୁଦ୍ଦା |
| ring | Verb | ନେଙ୍କାନାଦ୍‌,ସାତୁ ସାନାଦ୍‌ |
| ring about | Verb | ସୁଟ୍‌ ଓାଟାନାଦ୍‌ |
| ring at | Verb | ମାର୍‌ ତା,ଗୁମ୍‌ ମାମ୍‌ ତା ଗାଣ୍ଟି ରେତାନାଦ୍‌ ,ଓଡ଼୍‌ ସାନାଦ୍‌ |
| ring finger | Noun | ଉଙ୍ଗାମ୍‌ ଏାଟାନ୍‌ |
| IG | Noun | N/A |
| ring for | Verb | ଗାଣ୍ଟା ନେଇ Ie ସି ଏାଦାନାଙ୍କ୍‌ ଆନାଞ୍ଚାଲ୍‌ ଭଦାନାଦ୍‌ |
| ring guard | Noun | ପାଇତେମ୍‌,ଗାଜୁ |
| ring the bell,play,beat | Verb | ଦେନ୍‌ ସାଟ୍‌,ବେନ୍‌ Ale |
| ring up | Verb | ପୋନ୍‌ ଦା କାର୍‌ GIGI |
| ring WOrM | Noun | AAR ଞେୟ୍‌ ଶୋମିନ୍ଦେ |
| rinse in water | Verb | କାହ୍‌ ଭାନାଦ୍‌, ARCAIQ |
| riot | Noun | ମଭାମ୍‌ ନାର୍‌ ଗଢ଼ି a |
