| Word in English | Part of Speech | Odia Translation |
| --- | --- | --- |
| show way | Verb | ଆର୍‌ ତମୁଟ୍‌ | 
| shower | Adjective | ଓନା | 
| ଓାଦାନାଦ୍‌(ରାଲାନାଦ୍‌) | Noun | ତ୍ରିୟାନୋଣ୍ଡ | 
| showing | Verb | ତୋପିସାନାଦ୍‌ | 
| shrew | Noun | GG ଗାୟ୍‌ ଙ୍ଗ୍‌ ଗାୟ୍‌ ଙ୍ଗ | 
| ତ୍ରିୟାନୋଣ୍ଡ | Noun |  | 
| shriek | Noun | ଗାଟ୍‌ ଟି, ପୀନା EET | ତେ କେୟାନାଦ୍‌ | 
| shrivelled | Noun | ମଣ୍ଡା କାୟ୍‌ | 
| shut the door | Transitive verb | ଗୁମାମ୍‌ କେମ୍‌,ମାର୍‌ କେତଭାନାଦ୍‌ | 
| shutter | Noun | ତୂମ୍‌ ବାଲ୍‌ ଲା | 
| shy | Verb | AGL | 
| shy person | Adjective | Am GQ | 
| Siberian crane | Noun | ତେଲାବାଟ୍‌ | 
| sickle | Noun | ପାଲ୍‌ କିନ୍‌ କାଚେର୍‌ | 
| side | Noun | ପାକାତ୍‌, ପାକା | 
| side by side | Noun | ଦେଗେର୍‌ ଦେଗେର୍‌ | 
| siege | Verb | ଆଡାମ୍‌ ଓାଟାନାଦ୍‌ | 
| sieve | Noun | ଜାଲୋଡ଼୍‌ | 
| sift | Verb | ଜାଲ୍‌ ଲୋଡ଼େ ତେ କାତାନାଦ୍‌ | 
| sight | Noun | ଉଡ଼ାନାଦ୍‌ | 
| sign | Noun | GERI, AIFIAIN ମାନ୍ତା, ଚିନ୍ନୋ | 
| signal | Noun | ଆନାଏଁଲ୍‌,ଆ ଲେକେ ମାନ୍ତା, ଚିନ୍ନୋ | 
| silence | Interjection | କଟ୍‌ | 
| silently | Adverb | କଟା ସାମ୍‌ କ୍‌ ମାଞ୍ଜିା | 
| silhouette | Noun | ନୀତ୍‌ କାତ୍‌ ଆନାଞ୍ଚାଲ୍‌ | 
| silk cotton tree | Noun | ବୁରୁ ମାଡ଼ା | 
| silliness | Noun | A@,ale av |
