| Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| dung of sheep | Noun | ଗଦେ |
| during the time | Preposition | ନାଡ଼ତାନ୍‌, ସାମାୟାମ୍‌, ଆଶ୍‌ କେ-ଆସୁଙ୍୍‌ |
| dusk | Noun | ମାସ୍‌ ମାସ୍‌ ସିକାଡ୍‌, ଆଦାନ୍‌ ଞେଲା |
| dust | Noun | ଧୁମ୍‌(ଓାଞ୍ଜାନ୍‌), ER ଡୂଲ୍‌ |
| dust bin,carrier,basket | Noun | ତଗ୍‌, ଏଛାନାଦ୍‌, ଡୀକ୍‌, ଆର୍କଡ଼ିକ୍‌ |
| duster | Noun | ଉମାନାଦ୍‌ |
| earmming | Noun | ଡାପ୍‌ କ୍‌ ଗୁଡୁ ପାନାଦ୍‌ |
| earth | Noun | ବୂମ୍‌ |
| earth worm | Noun | ଏଡ଼ା ପୁଡ଼ିକ୍‌ |
| earthen ware | Noun | AIQR ତ୍‌ ସାମାନ୍‌ |
| earthquake | Noun | ବୂମ୍‌ AFR |
| ear-wax | Noun | କର୍‌ ଞୋଲ୍‌ |
| easily | Adverb | ଏଦ୍‌ ଲାମ୍‌ ତେ |
| east | Noun | ପଡ଼୍‌ ଦ୍‌ ପେୟ୍‌ ହ୍‌, ତାନାଦ୍‌ -ପାକ୍‌ କାମ୍‌ |
| easy | Noun | ଏଦ୍‌ ଲାମ୍‌ |
| easy chair | Noun | ମେତାଙ୍ଗ୍‌ ମାନ୍ଦାନ୍‌ |
| eat | Verb | ତିନ୍‌ |
| eatable items | Noun | GAlQ OB |
| eater | Noun | RISA ତିନ୍ଦାନାଦ୍‌ |
| ebony fruit | Noun | ତୁମି Ald |
| ebony tree | Noun | GAQ ମାରା |
