| English Word | Part of Speech | Odia Translation |
| --- | --- | --- |
| oven,hearth | Noun | ଅଜେଲ୍‌, ଚୁଲ୍ଳୀ |
| over head ache sinuses | Noun | GG ତାଲ୍‌ ଏତ୍‌ କେ ଆଡ଼ କ୍‌ ଆଡ଼ କ୍‌ ଆତ୍‌,ତାଲା ନୋତ୍‌ ,ଆଞ୍ଚି ଲାଗମିନ୍ଦେ |
| over joy | Adverb | GG ସାର୍ଦା |
| over load-in hands | Verb | ଟିକା ଟାକା ଆଦାନାଦ୍‌ |
| over loud,noise | Noun | ଗାଟି ଆଦି AIGAIQ, AAI AISSQ |
| Overjoy | Adjective | ଗାଲ୍‌ ଗାଲ୍‌ ,କାଲାକାଲା |
| overtake | Verb | ପୟ୍‌ ତାନାଦ୍‌ |
| owing to | Preposition | AER ସେଙ୍ଗେ |
| owl bird | Noun | କୁଞ୍ଜୋ ଗୂପ୍‌ ପିଟେ |
| own relation | Adjective | ସାହା AGAMA, IN ସିନୋର୍‌, |
| owner | Noun | ଆଦିକାରି |
| ozena | Noun | ମସର ପୁଣ୍ତ |
| pair of bullock | Noun | ଆର୍‌ କା pairs of bulls ploughs Noun ଲାଙ୍କେ |
| palate | Noun | ନାଲ୍‌ କିନ୍‌ AAl ମାନ୍ଦାନ୍‌ AGA |
| pale | Adjective | CAR FE ଜୁରୀତ୍‌ os ,ସୱକତା |
| palm | Noun | ଲାବାକାୟ୍‌,କାଲ୍‌ |
| palm fruit,palm stone | Noun | ମୁଞ୍ା alg |
| palm leaf | Noun | ତାଡ଼ ମେଟା |
