| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| dry up -hair | Verb | କେଲ୍‌ କ୍‌ ଦୁଲ୍‌ |
| ପୋମିନ୍ଦେ-କେଲ୍‌ କ୍‌ | | |
| କାୟାଉ୍ତାନାଦ୍‌,ଉନ୍‌ ଶ୍‌ ପାନାଦ୍‌ | | |
| dual | Noun | ରେଣ୍ତୁ ଲେକାମ୍‌,ରେକା |
| ରେକାମ୍‌ | | |
| duck | Noun | ବାଙ୍କୋ,ବାକୋ |
| dullness | Noun | ମୋଣ୍ୁ,ଆୟ୍‌ ଓ ଆନ୍ଦାନାଦ୍‌ |
| dumb boy | Noun | ମୁକାଲ୍‌,ମୁକେଲ୍‌ |
| dumb girl | Adjective | ମୁକେଲ୍‌ |
| dumbly | Adverb | ଚାମ୍‌ କ୍‌ |
| dunce | Noun | ଡିଟା 2 AM ଞୋଣ୍ତ |
| each one | Pronoun | ASs aSg ଆସି ସାରେ |
| each other | Pronoun | UGB ଅର୍ତୁଣ୍ଠ କିଙ୍କ୍‌ |
| eagermess | Noun | ଇଷ୍ଟାମ୍‌ |
| eagle | Noun | 6G AI ଗାଦା ପିଟେ |
| ear | Noun | 6@@ |
| ear ache | Noun | କେୱ୍‌ କାଚ ମିନ୍ଦେକେୱ୍‌ ନପ୍‌ |
| ear drum | Noun | କେୱ ଗୁବା |
| ear drum is blocked | Noun | 6@¢ ଦିମ୍‌ ମୁନ୍‌ ମିନ୍ଦେ |
| ear of maize | Noun | ଜେନା,ଜନା |
| ear ring | Noun | କେଉ ଜୋଡ଼ୂମ୍‌ |
| ear Wax | Noun | କରୁନ୍‌ GIGI |
| early | Adverb | AA MIA, AS ପାଟ୍‌ |
| early morning | Noun | ନାରୁକୁମ୍‌, ନାର୍କେ |
| earnestly | Adverb | ସାର୍ଦା ତେ,ଇଷ୍ଟାମ୍‌ |
| ଆସି | | |
