| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| sprinkle | Verb | ଏର୍‌ ଜାଲ୍‌ ଲାନାଦ୍‌ |
| sprout from earth | Noun | ପିର୍‌ |
| Ase | --- | --- |
| sputum | Noun | ଉଛୁଲ୍‌ |
| spy | Noun | AG ABW କେଭାନାଦ୍‌ |
| square | Noun | ନାଲୁ AIG, |
| squeeze | Noun | ପୀରା |
| squeezing | Verb | ପିଶ୍‌ କାନାଦ୍‌ |
| squint eyed, one eyed | Noun | GQ କାଣ୍ଡ-ସିରାଲ୍‌ |
| squirrel | Noun | ଆସେ |
| stable for horses | Noun | ଗୁର୍ରା ମାନ୍ଦାନ୍‌ AIR କା |
| staff | Noun | Se |
| stale | Noun | ଆୱ୍‌ ତା, କାଡ଼ିୟ୍‌ ତାଦ୍‌ |
| stall fed animal | Adjective | ତଭା ବାକ୍‌ କା |
| stammerer | --- | କେତଣ୍ଟ-ତକାଲ୍‌, ମୁକାଲ୍‌ |
| stand | Verb | PR ସି ମାନ୍ଦାନାଦ୍‌ |
| stand against | Verb | ଏଦୁରେ ନିଲ୍‌ ସ୍‌ ମାନ୍‌ |
| stand back | Verb | ଦୂରାମ୍‌ UB FR ସ୍‌ ମାନ୍ଦାନାଦ୍‌ |
| stand by | Verb | ତେୟାର୍‌ ଆସ୍‌, କାଦିଲି ମାନ୍ଦାନାଦ୍‌ |
| stand off | Verb | ଦୂରାମ୍‌ ମାନ୍ଦାନାଦ୍‌ |
| stand out | Verb | 16d ଲାବାମ୍‌ ମାଡ଼ାନାଦ୍‌ |
| stand with | Verb | ଯାତା, ସାଙ୍ଗକୋ ଆଦାନାଦ୍‌ |
| standing | Verb | ନିଲସ୍‌ ମିନ୍ଦଣ୍ତ |
| star | Noun | ଉକ୍ତାମ୍‌ |
| stationary | Noun | ଟେଙ୍ଗ୍‌ ମାନ୍ଦାନାଦ୍‌ |
