| Word in English | Part of Speech | Odia Translation |
| --- | --- | --- |
| to touch | Transitive verb | କେଟାନାଦ୍‌ |
| to transplant | Transitive verb | ଭର୍ସକାନାଦ୍‌ |
| to turn | Intransitive verb | ଉଡି ଉଡି |
| to bundle | Transitive verb | ଲେତାନାଦ୍‌ |
| to uproot a tree | Transitive verb | ମାରା କୂଡି |
| AAAS! | Pronoun | ମୋର |
| to wake up | Intransitive verb | ତେଦା |
| to walk | Transitive verb | ନାଡ୍‌ |
| to call | Transitive verb | ଦାନାଦ୍‌, ଦାକାନାଦ୍‌ |
| to roam around | Intransitive verb | ଉଡାନାଦ୍‌ |
| to wash clothes | Transitive verb | ଉକାନାଦ୍‌ |
| to wash face | Transitive verb | ଉନ୍‌ଶ୍ ପାନାଦ୍‌, ଭର୍‌ମ୍‌, ମକମ୍‌ ଆକ୍ଷମ୍‌ |
| to clean vessels | Transitive verb | ନଦାନାଦ୍‌ |
| to wear | Transitive verb | କେମ୍ମ୍‌, ଗୁଡ଼ା କେର୍ତାନାଦ୍‌ |
| to weave | Intransitive verb | ଆଲାନାଙ୍‌ |
| to wed | Noun | କାୟ୍‌ ଆକ୍ଷମ୍‌ କାଲ୍‌ ପାନାଦ୍‌ |
| to wet | Transitive verb | ନାନ୍ଦାନାଦ୍‌, ନାତାନାଦ୍‌ |
| to win | Transitive verb | ଗେଲ୍‌ ସାନାଦ୍‌, ଜୀଡ଼ାନାଦ୍‌ |
| to winnow | Transitive verb | ଏସାନାଦ୍‌ |
| to wipe | Transitive verb | ଉନ୍‌ଶ୍ ପିତ୍ତାନ୍‌, ଭମାନାଦ୍‌ |
| to write | Transitive verb | ରାସାନାଦ୍‌ |
