| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| spider-web | Noun | ବାଲେ AAI,QM ଓଟୋମିନ୍ଦେ |
| spill | Verb | ଜିରୀ ବରି ଆତ୍‌ spill,drop down |
| spill | Verb | ଓଡିୟିସିଭଣୁ |
| spin | Verb | Rm କୟ୍‌ SIGIR |
| spinal column,back bone | Adjective | AQ ବୁଲା AAG ବୁଲା |
| spirit | Noun | ଆତ୍ମା, ଜୀୱାମ୍‌ |
| spit |  | ୮୮୮. AQR ଉଚାନାଦ୍‌ |
| spittle | Noun | ARAN |
| splash up | Verb | AG@l |
| splits,clefts | Noun | କାଲ୍‌ କ୍‌ 4G ତାଦ୍‌ |
| spoon | Noun | @R EE ସାମ୍‌ ସା |
| spotted deer | Noun | କଢୁମାମ୍‌ |
| spotted hyena | Noun | ମାଡ଼ା ନେୟ୍‌ |
| spouse | Noun | ମାନୁସୁଣୃ,ମୁତ୍‌ ପାଲ୍‌ |
| spouse's elder sister | Noun | ୟେଙ୍ଗେ |
| spouse's younger sister | Noun | ହେଣ୍ଡାଡ଼ |
| spray | Noun | GIRIGIE |
| spread | Verb | ସାର୍ରେ ପାକ୍‌ AIP GAIPIQ.NG ତାନାଦ୍‌ |
| spread talk or matter | Verb | ବୁକ୍‌ କାର୍‌ ଆଦାନାଦ୍‌ |
| spread umbrella and go | Verb | ସାଭା ତାର୍ଶପା ,ଗଡୁଗୁ ମୁଚି ଦାକାଡ଼୍‌ |
| spring forth | Verb | ମୁଶ୍‌ କ୍‌ ତା,ମକ୍‌ କିକଟ୍‌ ତା |
| spring season | Noun | ଆକ୍‌ ee ସାନ୍‌ କାଲାମ୍‌ |
| springs | Noun | ବୁକ୍‌ |
