| Word in English | Part of Speech | Odia Translation |
| --- | --- | --- |
| ସିଦାନାଦ୍‌ | Noun | ମାଲ୍‌ ପି ଭଦାନାଦ୍‌ |
| repeat | Verb | ମାଲ୍‌ ଶ୍‌ ତୁଙ୍ଗାନାଦ୍‌ |
| repeatedly, again and again | Adverb | ମେଣ୍ଡେ 66S, CR! |
| ମାଲ୍ଲା | Noun | repel against authority |
| ଆଦିକାରାମ୍‌ ତ୍‌ ବିରୋଦାମ୍‌ ତୁଙ୍ଗାନାଦ୍‌ | Verb | repent/repentance |
| ତାପ୍‌ ସେଙ୍ଗେ GIG FQ କାମ୍‌ ଆଦାନାଦ୍‌ | Verb |  |
| ମାଡ଼୍‌ ତା ତାପ୍‌ ସେଙ୍ଗେ ଦୁକ୍‌ କାମ ତେ ମାନ୍ଦାନାଦ୍‌ | Verb | repentance |
| ମାଲ୍‌ ସ୍‌ ତୋପାନ୍‌ ନୀଡ଼୍‌ କା | Noun | replica |
| ମାଲ୍‌ ପି କେତାନାଦ୍‌ | Verb | reply |
| ତେନ୍‌ ଶ୍‌ କାନାଦ୍‌, ମାୟ୍‌ ତାନାଦ୍‌ | Adjective | repulsive, ugly |
| କାସିମାଲାମ୍‌ | Adjective | rescue |
| ଗେଲ୍‌ ଶ୍‌ Al, ଗେଲ୍‌ ପିଞ୍ଚା | Verb | resembling |
| ଅରୋଟ୍‌ ଲେକେ | Noun | respect, esteem |
| ମାରିୟାଦା, ମାନେମ୍‌ ଆତ୍‌”, ମେଲ୍‌ ତା ତୁଙ୍ଗାନାଦ୍‌ | Noun | responsibility |
| AIGA ଦିନ୍‌ AID ଉଡ଼ାନାଦ୍‌ | Verb | rest |
| ଦଢ଼ା, ସାକୂର୍‌ ତିନ୍ଦାନ୍‌ ଓଟେଲ୍‌ | Noun | restaurant |
| ଆଡାମ୍‌ | Noun | restraint |
| ଡଲ୍‌ ଲି ମେଣ୍ଡୋନ୍‌ ତାମ୍‌ ଜୀୱାମ୍‌ ଦର୍କାନାଦ୍‌ | Noun | resurrection |
