| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| କାନାଦ୍‌ | Noun | ଲୋଲୁ |
| ଲେନ୍ତା | Noun | ଛୁଟି |
| ପେୟା | Adjective | ଛୁଅ |
| dal | Adjective | ତାରିକା |
| କେ ଆସ୍‌ କେ | Adverb | ଏକ ଝଟିଆ |
| ସୁଡ଼ିଦାର୍‌ | Noun | ସୁଦିନ |
| ବାର୍ତାନାଦ୍‌ | Verb | ସଂତପ୍ତ ହୋଇଥିବା |
| ପୋତର୍‌ | Verb | ତୀବ୍ର ସ୍ୱାରସ୍ୟ ସହିତ |
| ପାଞ୍ଜା ଦାରାମ୍‌ | Noun | ଚିନିବିଳା |
| ବେଲ୍‌ ଲା କାରା | Noun | ସରୁଳା |
| ନେମ୍‌ ଲାତେ | Noun | ସୂଚନା |
| କେଞ୍ଚିତୋର୍‌ | Noun | ସ୍ୱାମୀହୀନ ଆତ୍ମହତ୍ୟା |
| ଞିଢ଼ି ମାତ୍‌ ତିଞ୍ଜା ଲାନାଦ୍‌ | Noun | ସ୍ୱାମୀହୀନ ଆତ୍ମହତ୍ୟା |
| AEE | Noun | ସୂର୍ଯ |
| N@ ତେର୍‌ ସୋମିନ୍ଦେ,ଟୟ୍‌,ନାର୍ଗାନେଲ୍‌ | Noun | ତପତା ସୂର୍ଯ |
