| English Word | Part of Speech | Odiya Translation |
| --- | --- | --- |
| pay | Noun | ପୟ୍ ତ୍‌ |
| catch | Verb | ୮୮୮. ପୟ୍‌ ମ୍‌ |
| caterpillar | Noun | ବୁଇନ୍ଦେ Qe |
| caterpillar, worms | Noun | ଚୁଡ଼ୂଲାପୁଡି |
| cattle | Noun | ASH, Sa କା |
| cauldron | Noun | କଡ଼େଇ |
| cauliflower | Noun | ପୂଲ କୋବି |
| cause to get out | Verb | ପେସ୍‌ |
| dag | Noun | ପିସାମିନ୍ଦାନ୍‌ |
| cause to move | Verb | ଜାର୍ଗିସାନାଦ୍‌ |
| cause to move by hand | Noun | କାୟ୍‌ ଦେ GIGI. ପିସାମିନ୍ଦାନ୍‌ |
| caution, reason, cause | Noun | ବାଭାଙ୍‌ ଇତ୍‌ କେ |
| cautiously | Adverb | ଚେଉର୍‌ ତେ, ଜାଗ୍ରାତେ |
| cave | Noun | ୨/୧//୮. କାଲ୍‌ ଗୁମ୍ପା, ପାଣ୍‌ କି |
| caves | Noun | ପାଣ୍ଡୁକୁ |
| cement wall, boundary | Noun | ପାରି ଗୋଡ଼ା |
| centipede | Noun | 6@Q |
| ceremony | Noun | କାର୍ୟାମ୍‌, ପାଣ୍ଡପ୍‌ |
| certain day | Noun | ପାଲାନ୍‌ ,ପାଲାମ୍‌ ରୋଜ୍‌ |
| certainly, positively | Adverb | ନିଜାମେ |
| chaff | Noun | AIR ଜିନ୍‌ AR |
| chain, necklace | Noun | ନେଡେମ୍‌, ଗଲୁସୁ |
| chair | Noun | ଚୈକି |
| chalk | Noun | କୋଡି |
| chalk paddy(ten) | Noun | ପୁଟ୍ଚେନ୍‌ |
| Te | - | - |
