| Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| କେଞ୍ଜାନାଦ୍‌ | Noun | କେଞ୍ଜାନାଦ୍‌ |
| obstinacy | Noun | ଆଡାମ୍‌ |
| ଗାଟି ପୀଲା | Adjective | ଗାଟି ପୀଲା AQ |
| ତାନାଦ୍‌ ଓାଇ ରେମ୍‌, ଗାୟିରେମ୍‌ | Adjective | AID FOB |
| occasionally | Adverb | ବେସ୍‌ କେ |
| ବେସ୍‌ କେ | - | ବେସ୍‌ କେ |
| ୦୯୦୩୮ | Verb | ଆଦାନାଦ୍‌, ଜାର୍‌ ଗାନାଦ୍‌ |
| occurrence | Noun | ମାଟା, ଓିଷାୟାମ୍‌ |
| ଆଦାନାଦ୍‌ | - | ଆଦାନାଦ୍‌ |
| ୦୮ | Preposition | ନାଦ୍‌, ଉନାଦ୍‌ |
| ,ଉରାଦ୍‌ | - | ,ଉରାଦ୍‌ |
| ୦୮ | Preposition | ଦୁରାମ୍‌ |
| offal | Noun | AGE ତାଦ୍‌ |
| offence | Noun | ନେରାମ୍‌,ତାପ୍‌ ପୁ |
| offer ୮୪/୮୨. | Noun | ଅପିଦାନାଦ୍‌ |
| offering | Noun | ଚାନ୍ଦା, କାଣିକେ-ପାରାମେଶ୍ବାର୍‌ କିଙ୍କ୍‌, ଭଦାନାଦ୍ଧ ହଣ,ଅର୍ପିତ ଦାନ ବା |
| often,repeatedly | Adverb | ମାଲ୍‌ ଲା, ମେଣ୍ଡେ ମେଣ୍ଡେ, ନାର୍ଗେ ତାମ୍‌ |
| ୦୮ | Interjection | ଓ ୟାୟୋ,ଓ AIG ସା |
| oil | Noun | ନିୟ୍‌ |
| oil-press | Noun | FQ ନେସ୍‌ |
| oil which used for grey-hair | Noun | କେଲ୍‌ କ୍‌ ଜୂରା ନ୍‌, ନିୟ୍‌, କାରି ଆଦାନ୍‌ ନିୟ୍‌ |
| oil,ghee | Noun | ପାଲ୍‌ ନିୟ୍‌ |
| oiling | Verb | ନୀ ନେତା ନାଦ୍‌ |
| ointment | Noun | ରାସାନାଙ୍କ୍‌ ମାତ୍‌ |
| old ୨୮୧୮. | - | ଓାୟାଶ୍‌ |
