| Word in English | Part of Speech | Odia Translation |
|---|---|---|
| Marungidaatina | Noun | ମାରୁଙ୍ଗି ଦାତିନ୍‌ ଆଦିନ୍‌ ମାୟ୍‌ |
| Dingkaraashi | Noun | ଦିଙ୍କ୍‌ ରାଶି ମାନ୍‌ |
| let | Verb | ସାରି |
| accordingly | Adverb | ଆଦିଙ୍କ୍‌ ଲେକେ |
| ACE GRAIGIA, ESA | Noun | ଟିକେ ଏସି ଗ୍ରେଜିଆ |
| danada | Noun | ଦାନାଦ୍‌ |
| let us eat | Verb | ଗ୍ରେଜି, କ୍ରେନ୍‌ |
| let down | Verb | ଅଗଲାର |
| AAAI, MIO | Interjection | ଆଇ ମିଓ |
| pisaanada, jaarisanaada | Noun | ପିସାନାଦ୍‌, ଜାରିସାନାଦ୍‌ |
| letin | Verb | ଲୋପାଲ୍‌ ନିଗାନାଙ୍ଗ୍‌ |
| wadda seedanada | Noun | ୱଡ଼୍‌ ସୀଦାନାଦ୍‌ |
| let off | Verb | ଞିତୃସି ଦାନାଦ୍‌ |
| let out | Verb | ବଡ଼ା, ଆଦ୍‌ ଭଦାନାଦ୍‌ |
| let us bring | Verb | ତାତିକାର୍‌, ତାତିକାଡ଼୍‌ |
| let us dance | Verb | ଏନ୍ଦିକାଟ୍‌-ଆରିୟାନାଦ୍‌ |
| let us eat | Verb | ତିନ୍ଦିକାର |
| let us go | Verb | ଗିଆଗ୍‌ ଦାକାଡ଼୍‌ |
| let us play | Verb | କାର୍‌ସିକାଢ଼୍‌ |
| let us serve | Pro-form | ସେୱା |
| AGAIN | Adverb | ପୁଣି |
| let us sing | Verb | ପାରିକାର |
| let us sit near fire | Interjection | କିସ୍‌ ତାଗାରେ କୁଦିକାଡ଼୍‌? |
| let's sing & dance | Verb | ପାରିକାଢ଼୍‌ ଏନ୍ଦିକାଡ଼୍‌ |
| let's walk | Verb | ଦାକାଡ଼୍‌, ଜାଟି |
| letter box | Noun | କାବୁର୍‌ ଅଗିଆଁଁ ପେଟ୍ଟି |
| leucosis, albinism | Noun | ସବେମ୍‌ |
| level | Noun | ତୁଙ୍ଗାନାଦ୍‌, ଗାରା |
| level earth | Adjective | ମାନ୍ଦାଙ୍କ୍‌ ବୁମ୍‌ |
| liberality | Noun | ନିଜେ ଇଷ୍ଟାମ୍‌ ତେ |
