| English Word | Part of Speech | Odia Translation |
| --- | --- | --- |
| austerity | Noun | ବାୟାମ୍‌ ମାଲାମ୍‌ |
| author | Noun | ବଇ AIAG |
| authority | Noun | ଆଦିକାରାମ୍‌ |
| autumn | Noun | ପେଦା ମାଣି କାଲାମ୍‌ |
| avoid | --- | ଏଗ୍‌ ଦେଙ୍କାନାଦ୍‌ |
| babbler | Noun | ଏକ୍‌ ଓ ତ୍ରୀୟ୍‌ ନୋନ୍‌ |
| baby | --- | ପାପାଲ୍‌ |
| bachelor | Noun | @@ Alga |
| bachelor's buttons | Noun | ମାଡ଼ା ମାଲି ପୁଙ୍ଗାର୍‌ |
| back biting | Noun | ସୁକ୍‌ ଲି FAQ |
| back bitter | Noun | ପେଲ୍ଲାନାଦ୍‌ |
| back of the body | Noun | ଜେବା।ମୁର୍ସୁଲ୍‌ |
| backbite | Verb | ଆୟ୍‌ କ୍‌ ତୀରିୟ୍‌ ପେର୍ଲାନାଦ୍‌ |
| backward | Adjective | ପେର୍କେ |
| backyard of house | Noun | ଲୋନ୍‌ ଆଲ୍‌ ପେର୍କ |
| bacteria, virus | Noun | କାଣ୍ଡ O@ ତପ୍‌ ପିଲ୍‌ gee |
| bad idea | Adjective | CID. ପୁ ଆଲ୍‌ ପୁ |
| bad luck | Adjective | କାରାପ୍‌ ଆଡୁଷ୍ଟାମ୍‌ |
| bad name | Noun | କାରାବ୍‌ ପେଦେର୍‌ |
| bad smell | Noun | କାରାବ୍‌ ଗାବ୍‌ |
| bad tempered | Adjective | GIG କୋପାମ୍‌ |
| bad word | Noun | ସେଡା ମାଟା ପୀନ୍ଦ ପାର୍‌ ନ୍ଦୁ ଲ୍‌ ଗଟି |
| bad, vice | Noun | ପୀନ୍ଦ, କାରାପ୍‌ |
