| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| to touch | Transitive verb. | କେଟାନାଦ୍ |
| to transplant | verb. | ଉସକାନାଦ୍ Transitive |
| to turn | Intransitive verb. | ଉଡି ଉଡି |
| to untie | bundle Transitive verb. | ଲେତାନାଦ୍ ଓଠ |
| to uproot | tree Transitive verb. | ମାରା କୂଡ ଆଶାକମାଡ଼ା କୂଡି ତ୍ |
| to us | Pronoun. | ମାକିଙ୍କ୍ |
| to wake up | lntransitive verb. | ତେଦା |
| to walk | Intransitive verb. | ନାଡି ଦାନାଦ୍, ଦାକାନାଦ୍ |
| to wander around | roaming Verb. | ଉଡାନାଦ୍ |
| to wash clothes | Transitive verb. | ଉକାନାଦ୍ |
| to wash face | Transitive verb. | ଉନ୍ ଶ୍ ପାନାଦ୍, ଉର୍ ଉର୍ ମ୍, ମକମ୍ ଉର୍ ତାନାଦ୍ |
| to washing | Transitive verb. | ହ%୦୫୫୯15,୦1୦ଥ1 ଠା ଏି। ନଦାନାଦ୍ |
| to Wear | Transitive verb. | କେର୍ମ୍ ଗୁଡ଼ା କେର୍ତାନାଦ୍ |
| to Weave | Intransitive verb. | ଥାଲାନାକ୍ ମବରକା] |
| Noun. | କାୟ୍ ପୟ୍ ସି କାଲ୍ ପାନାଦ୍ |
| to ₹୦୯୮,1141୧୦ ବୃନୁ୦୮ | Transitive verb. | ନାନ୍ଦାନାଦ୍, ନାତାନାଦ୍ |
| to win | Transitive verb. | ଗେଲ୍ ସାନାଦ୍, ଜୀଡ଼ାନାଦ୍ |
| to winnow | Transitive verb. | ଏସାନାଦ୍ |
| to wipe | Transitive verb. | ଉନ୍ ଶ୍ ପିତ୍ତାନ୍, ଭମାନାଦ୍ |
| to write | Transitive verb. | ରାସାନାଦ୍ |
