| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| look after | Verb | କାପ୍ ଉଡ଼ାନାଦ୍, କ୍ କା କୀଦାନାଦ୍, ପଡ଼୍ ପାନାଦ୍ |
| look down upon | Verb | ପାସ୍ MIME |
| look into | Verb | ମେକ୍ କି ଉଡ଼ାନାଦ୍ |
| look out for | Verb | ମେକ୍ କାନାଦ୍ |
| look through | Verb | ପରୀକ୍ଷା ମାଡ଼ି ଉଡ଼ାନାଦ୍ |
| 1001..୪1 ୪୩୮ | Verb | ଉଡ଼ା |
| looking glass,mirror | Noun | ଥାଦାମ୍ |
| loose | Noun | ପଷର୍ Ga |
| loosen | Verb | ଲେମ୍ଲେତାନାଦ୍ |
| loosened | Adjective | ଲେଟଙ୍ଗି ଥାରା,ଲେଶରା ମିନ୍ଦାନ୍ |
| loot plunder | Noun | ଡଙ୍ଗାନାଦ୍ ତଙ୍ସି ଞୋଦାନୋଣ୍ତ |
| looter | Noun | ଜୋକ୍ କା, ସାଙ୍ଗୋ, ଜାତା ମାଞ୍ଜା, ସା ମାଞ୍ଚା ଡଙ୍ଗାନାଦ୍ |
| lord | Noun | ପାରାମେଶ୍ବାର୍, ଦେୱ୍ ଡ୍ ମୁୟ୍ ତନ୍, ଇଶବର ସାୱ୍କାର୍, ପାବୁ, ରାଜାଲ୍ |
| lorry | Noun | ଲାରି |
| lose | Verb | ମାପାନାଦ୍ |
| lose fight | Verb | ରାମ୍ପୁକି ନ୍ ନାଷ୍ଟୀମ୍ |
| loss | Verb | ନାଷ୍ଟୀମ୍ ମାଡ଼ିଭୋଣ୍ତ |
| lost | Adjective | ମାଇଥଆତଣ୍ଡ |
| lot | Noun | ଏକ୍ ଓ, ଦିବେଡ଼ ଓା, ଦିବେଡ଼, ଡିଟାଙ୍ଗ ଡିଟାଙ୍ଗ୍ |
| lot | Adjective | ୩।ଦେମ୍ ଟାଙ୍ |
| lotus | Noun | ପଦ୍ମ ପୂର୍ଗାର୍ |
| loud noise | Noun | କାୟ୍ ଘୁଂନ୍ ଗଟି |
| GAGE |  |  |
