| English Word | Part of Speech | Odia Translation |
|---|---|---|
| nearly | Adjective | ଗାରେ ଗାରେ |
| neat | Noun | ମୁବ୍ରାଙ୍ଗ, “ଓଡ଼ିୟ, ସାୟା ମାନ୍ଦାନାଦ୍” |
| necessary | Adjective | ଥାନ୍ ସାରାମ୍, ୩ ୱାଲ୍ |
| neck | Noun | ଞେଡେର୍ କତ୍ କି |
| necklace | Noun | ନେକକ୍ |
| need | Adjective | କାଞାଲ୍, ଦର୍କାର୍ |
| needle, injection | Noun | ସୁଦ୍ |
| neem tree | Noun | ଞଓେପା ମାରା |
| neighbour | Noun | ଲୋତା ଗାରେତଣ୍ଡ |
| neither..nor | Correlative connective | ଭଦ୍ ବା ଆୟ୍ୟେୋ ଥାଦ୍ ବା ଆୟ୍ୟୋ |
| nephew | Noun | ଏଣ୍ଠା ମାର୍ |
| nepotism | Noun | କୋରାନାଦ୍, ନେଚାନାଦ୍ |
| nerve | Noun | ନାରସ କ୍ |
| nervous | Adjective | ଓାଣ୍ କ୍ ତୋଣ୍ଡ |
| nervous debility | Noun | ନାର୍ ସ୍ କ୍ ତେଡ଼ାନ୍ ରୋଗାମ୍ |
| nervous agitated | Agitated Adjective | ାଣାମ୍ ଦ୍ ଗାଦ୍ ଆଚା., |
| nest | Noun | ଠୁ ପା |
| net | Noun | ଆଲ୍ଲା |
| never | Adverb | ବେଶ୍ କେ ବା, ବେପ୍ Gale ଆୟ୍ୟୋ |
| nevertheless, still | Coordinating connective | ମାଚ୍ କେ ବା |
| new | Adjective | କତା, ପୂନା |
| new born | Adjective | ପୁନା |
