| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| ଦୁଡ଼ | Noun | ଗୁଡ଼ପ୍ ତା ଡ଼ାବ୍ କଞ୍ଚି |
| credit | Noun | ଗୁଡ଼ପ୍ ତା ଡ଼ାବ୍ କଞ୍ଚି |
| କାର୍ସ୍ କାର୍ସ୍ ମାଡ଼ାନାଦ୍ | Noun | କାର୍ସ୍ କାର୍ସ୍ ମାଡ଼ାନାଦ୍ |
| creditor | Noun | ବାକି ଇଦାନୋଣ୍ଡ |
| creep through | Verb | ନୁଲ୍ ଗେବା |
| creeper | Noun | ଗଣ୍ଡା, ଏଟ୍ |
| cremation | Noun | ପଡ଼୍ ସୀଦାନାଦ୍ |
| crest | Noun | କୋର୍ ପ୍ଙ୍ଗାର୍ |
| cried | Verb | ଥାଙ୍ଗ ଲିଭୋନ୍ |
| cries out | Noun | କେୟ୍ କେୟ୍ |
| critical situation | Adjective | କାଷ୍ଟାମ୍ ତ୍ ତପ୍ ପାଲ୍ |
| criticize | Verb | ତାପ୍ ଯୁ ତୋପ୍ ପିସାନାଦ୍ |
| crocodile | Noun | ମସଲ୍ |
| Crop | Noun | ଓର୍ଥିା |
| 9808305, 48998 gram | Noun | ପେସିଲି |
| (1 077 | Noun | କୁରୁଶ୍, କା ଡ଼ାମ୍ ଡାଣ୍ଡାନାଦ୍ |
| beam | Noun | ପାଟା, ବାଲ୍ଲା |
| road | Noun | ଥାଟ୍ ଥାର୍,ପକ୍ କା ଥାର୍ |
| CrOW | Noun | କାରାଗୁଟ୍, କାକାଡ଼, କାକାର୍ ପିଟେ |
| CrOW (037 | Noun | କାକା ଭଞ୍ଜେୋ GIGS କେୟିତା |
| crowbar | Noun | ଗୁନ୍ ପାଲ୍ ଗାଡ଼୍ ପାରାମ୍ |
| crowd | Noun | ମଲ୍ |
| Crown | Noun | କିରିଡ଼ାମ୍-ମୂକୁଟ୍ |
| Crown 08 gold | Noun | ଆୟ୍ ରା ଓର୍ଥିା |
| crows-fight | Noun | କୋର୍ Guise |
