| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| large intestine | Noun | ବାଡ଼ିୟା ପକ୍ ଏଲ |
| large size basket's which use for store the grains | Noun | ଗୁଲ୍ଲା,ଗାମ୍ା |
| large stone-rock | Noun | ବାଣ୍ଡା, ରାୟ୍ କ୍ |
| large wide mouthed vessel | Noun | ଡେକ୍ ସ,ଡେକ୍ ଲ |
| last child | Adjective | ତ ଶ୍ରାଲ୍, GQ ପିଲ୍ଲା |
| last day | Noun | ନିନ୍ନେଟ୍ ରୋଜ୍ |
| last month | Noun | ଆରା ନେଲ୍ଲା |
| last night | Noun | ନିନ୍ନେଟ୍ ନାର୍କା |
| last year | Noun | ନୀରି |
| lasting | Adjective | ବେଶ୍ କେ ବାରେ |
| lastly | Adverb | ମାରେଙ୍ଗ୍ |
| late | Adjective | ଥାଲ୍ ସେମ୍, ଗାଟି ଜେଲ୍ ଆତା |
| late evening | Noun | ମ୍ଲପେ ମୁଲ୍ ପୁଟ୍ |
| lately | Adverb | ଜେଲ୍ ତେ, ଥେଲ୍ ସେମ୍ ତେ |
| latrine | Noun | ପେଲାନାଙ୍କ୍ ଗାଦ୍ |
| latticed window | Noun | ତର୍ ବସା |
| laugh | Verb | କାଉତାନାଦ୍ |
| laugh ଯି | Verb | ମିଡ଼୍ କାନାଦ୍, କାୱ୍ ତାନାଦ୍ |
| laugh away | Verb | ମିଡ଼୍ କି, କାୱ୍ ସି ମାଙ୍ଗାନାଦ୍ |
| laughter | Noun | କାୱ୍ ସାନୋଣ୍ଡ ଅଟ ସାର୍କାର୍ ତ୍ ରୂଲ୍, ନୟାମ୍ |
| lawn grass | Noun | ଗାର୍ କି ଗାଟ୍ |
| lawyer | Noun | Glam |
