| Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| old age | Noun | ମୁନ୍ନେଟ୍ କାଲାମ୍ |
| old friend | Noun | ମୁନ୍ନେଟ୍ ଯାରା |
| old 1111 | Noun | ମୁୟ୍ ତୋଣ୍ଡ |
| old Woman | Noun | ଇଅର୍ଲେ |
| ୦୮ | Preposition | ପୋର |
| ୦୮ account | Adverb | ଏଡାକ୍ ଓତ୍ କାଡ଼ୁ |
| ୦୮ behalf | Preposition | ପେଦେର୍ ତେ, ସେଙ୍ଗେ |
| ୦୮ holidays | Adverb | ଛୁଟିତେ |
| ୦୮ the ground | Preposition | ଓନ୍ ଦ଼ି ୮୦୮୦ |
| ୦୮ ,7 Teason | Preposition | ଥାଦକ୍ |
| ୦୮ the ଣ୍ଟ | Adposition | ମାବି ନାଗ୍ |
| Once | Adverb | ଅଣ୍ଡୋୟ୍ ତାମ୍ବ୍ଅର୍ ଝୁଟ୍ଲ୍ |
| Once again | Adverb | ମେଣ୍ଡନ୍ ତାମ୍, ସୁଟ୍-ମେଣ୍ତୋନ୍ ତାମ୍ ମାଲା ଥର୍ ସ୍ଟ୍ |
| ୦୮୩୯ | Numeral | ଥରଟ୍, ଥଣ୍ଡୋୟ୍ |
| Adjective | ଅର୍ତୁଣ୍ଟ, ବେନୋଣ୍ଡ |
| ୦୩୧୦ another | Pronoun | ଅର୍ତୁଣ୍ଟ ଅର୍ତୁଣ୍ଟ କିଙ୍କ୍ |
| ୦୩୧୦ day | Noun | ଥକ୍ କା ଦିନାମ୍, ରୋଜୁ |
| ୦୩୧୦ fourths | Noun | ନାଲୁ ମୁକା |
| ୦୩୧୦ Kg | Adjective | ଓର୍ କେଜ୍, ଅଣ୍ଡୋୟ୍ କେଜ୍ |
| ୦୩୧୦ place | Noun | ଓରପେ |
| ୦୩୧୦ rupee | Noun | ରୂପାଇ |
| ୦୩୧୦ side head pain | Noun | ଥର୍ ଗୋବା |
| who possessed by ୮ spirit | Noun | ଓଳାମ୍ ଉଡାନର୍ |
| one-1 | Adjective | ଅକାଟି |
