| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| Preposition. |  | ପରନୁଞ୍ଜା |
| from, from | Adposition. | me |
| front | Preposition. | ଆଁ, SCH, ଜଳୀ |
| frown | Verb. | ମୋକ୍ କାମ୍ ମୁବର୍ ମାନ୍ଦାନାଦ୍ |
| fruit | Noun. | ପାଣ୍ଡୁ, ପାଣ୍ଡ |
| fruit bearing tree | Noun. | ପାଣ୍ଡ ଥାଦାନ୍ ମାଡ଼ା |
| fruit juice | Noun. | alae ଏ୍ର୍, ରାସାମ୍ |
| gain | Verb. | ଲାବାମ୍ |
| gallbladder | Noun. | କାୟାକାଟ୍ |
| gambling | Noun. | ପେକାଆଟା |
| gander | Noun. | ରାଜବାକୋ, ବେରିୟା ବାଙ୍କ |
| gangrene | Noun. | କାଡ଼ିୟିତ୍ ପୁଣ୍ଡ |
| gap in ଓଠ TOW ୦୮ teeth with ୦୩୧୦ ୦ more lacking | Noun. | ଏଡାମ୍ପ ଏଡାମ୍ପ ପାୟ୍ ନ୍ଦା ପାଲ୍ |
| garden | Noun. | ଟ୍କୋଣ୍ଟା |
| garden bed | Noun. | ପେଟୁ ମ୍ କେଶାନାଦ୍ |
| garden lizard | Noun. | ମିନ୍ କି |
| garden pea | Noun. | sale ସେଲୁ ଙ୍ଲା |
| gardener | Noun. | ଟଗଣ୍ଟାତଣ୍ଡ |
| gargle rinse | Verb. | କ୍ କା ତଡ଼୍ ପି, ତଡ଼ଲାନାଦ୍ |
| gargling | Noun. | ବୁକ୍ କା ତୋଡ଼ପି ଉଚାନାଦ୍ |
| garland | Noun. | ପ୍ରଲ୍¿„ ` ଡାଣ୍ଡା |
