| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| small tomato | Noun | ଏର୍କ କା |
| small wooden stool | Noun | କୁତୂଲ୍ |
| smallpox | Noun | ଗାଜଖୁ ତାଲୁଡ଼ ରୋଗାମ୍ |
| smartness, briskness | Noun | ସିଟ୍ ପାଟ୍ QUAI ପାଡ଼ିୟ୍ ତୁଙ୍ଗାନାଦ୍ |
| smell | Verb | ମ୍ବସ୍ କାନାଦ୍ |
| smoke | Noun | କୁମ୍ପଡ଼।ଉମା |
| smoke | Noun | ଉମା |
| smooth | Noun | ନିୟ୍ ମାଙ୍ଗ୍ |
| snail | Noun | GIGS କେ |
| snake | Noun | ତାଡ଼ାସ୍ ତାର୍ |
| snake charmer | Noun | ତାରସକିନର୍ |
| snake | Noun | ତାଡାସ୍ ପୟ୍୍ y କାର୍ପି ସାନୋର୍ SEM ତାନୋର୍ |
| snake gourd | Noun | ଜାଙ୍ଗ ଗୁମଡ଼କାଯା |
| snake kisses | Verb | ତାଡ଼ାସ୍ ଡ଼ର୍ ଡ଼ର୍ କ ଗୁରିତା |
| snake lift the head | Verb | ତାରସକ୍ ଉଦିତ୍ |
| snap the finger's | Verb | ସିଟ୍ କା |
| snaring | Verb | ପାଲ୍ କ୍ ନୋକି କୋପାମ୍ ତୋପିସାନାଦ୍ |
| snatch | Verb | ପୀନ୍ କ୍ ରା |
| sneezing | Verb | OTIS SNOTE ଗର୍ SEAR alee |
| snub nosed | Noun | ନାପ FIRS |
| so | Adverb | ଧ ଲେକ୍ କେ |
| so be it | Interjection | ଆଲେ ଥାଦ୍ ଗୁନ୍ ଆୟି |
| so early | Adjective | ପେନ୍ଦାଲ୍ ସିଟ୍ ପାଟ୍ |
