| Word in English | Part of Speech | Odia Translation |
| --- | --- | --- |
| orchard | Noun | ପାଣ୍ଡିନ୍ ଗଣ୍ଡା |
| ordinary | Adjective | ମାମୁଲ୍ |
| ୦୮୦ | Noun | ମେଲ୍ ଡାଏାୟ୍, ଜ୍ୟାକ୍ ଲେମ୍, ଭନୁମ୍ |
| ୦୮୩11)୦,୦୯115୯ | Noun | କଣ୍ଢଠା, ମୋସୋମ୍୍, ନାଲ୍କା, ତଲ୍କା |
| origin | Noun | ତଲ୍ଲିନ୍ ପୁଟିତ୍ |
| ornaments | Noun | ସିଂରାମ୍ ବାଙ୍ଗ୍ରାମ୍, ଗାଦେ ସୋକ୍ ମାଡ଼ାନାଦ୍ |
| orphans | Noun | ପରିୟି ପିଲ୍ଲା, ପର୍ମା ପିଲ୍ଲା |
| ostracize | Verb | ଥଣ୍ଟାର୍ ଓାଟାନାଦ୍ |
| other | Pronoun | ମାଲ୍ ଅର୍ତ୍ୟୁଣ୍ଟ, ମେଣ୍ଡୋର୍ତୁଣ୍ଟ, ଷ୍ରେର୍ ମଣ୍ଡୋର୍ତ୍ଣ୍ଟ, ଚେର୍ ଅର୍ତୁଣ୍ଢ |
| otherwise | Coordinating connective | ଭଲ୍ଲକ ପୋତି, ଇଲୁକ୍ କଟଙ୍ଟେ |
| ୦୮୦111୦ ଥେ | Noun | କେୱ୍ କାଡ଼ିୟାନାଦ୍ |
| ought to, should | Verb | ଥାଦାଞାଲ୍ |
| pace | Noun | ଆଡ଼ଗୁଲ୍ |
| packing luggage | Verb | ମୂଟ୍ଟା GAME |
| paddy | Noun | ଓର୍ଥିଆ |
| paddy field | Noun | ଆୟା |
| paddy seedling | Noun | ଏନ୍ |
| padlock | Noun | ବେରିୟଯା ତାଲାମ୍ |
| pageant | Noun | ସୁକ୍ କାମ୍ ସେଙ୍ଗେ ଭଷ୍ଟାମ୍ ଏ କାର୍ଟ୍ ମାଡ଼ାନାଦ୍ |
