| Word in English | Part of speech | Odiya Translation |
|---|---|---|
| show | Verb | ଥାର୍ ତମୁଟ୍ |
| shower | Adjective | ଓନା |
| ସାଦାନାଦ୍ ଓ ଦାନାଦ୍ (ରାଲାନାଦ୍) | N/A | ରାଲାନାଦ୍ |
| showing | Verb | ତୋପିସାନାଦ୍ |
| shrew | Noun | ଗାଟି ଗାୟ୍ ଙ୍ଗ ଗାୟ୍ |
| ତ୍ରିୟାନୋଣ୍ଡ | N/A | N/A |
| shriek | Noun | ଗାଟ୍ ଟି ଲେଙ୍ଗ୍ |
| ତେ କେୟାନାଦ୍ | N/A | N/A |
| shrivelled | Noun | ମଣ୍ଡା କାୟ୍ |
| shut the door | Transitive verb | ଗୁମାମ୍ କେମ୍ମାର୍ |
| କେଉଶାନାଦ୍ | N/A | N/A |
| shutter ୦୮ ଓଠ | N/A | N/A |
| sluice | Noun | ତୂମ୍ ବାଲ୍ ଲା |
| shy | Verb | ସିଗ୍ |
| shy person | Adjective | ସିଗୁଲ୍ ଆଣ୍ଡ |
| Siberian Crane | Noun | ତେଲାବାଟ୍ |
| sickle | Noun | ପାଲ୍ କିନ୍ MEGS |
| side | Noun | ଠ୍ରାକାତ୍ କା |
| side by side | Noun | ଦେଗେର୍ ଦେଗେର୍ |
| siege | Verb | ଥାଡାମ୍ ଓାଟାନାଦ୍ |
| sieve | Noun | ଜାଲୋଡ଼୍ |
| sift | Verb | ଜାଲ୍ ଲୋଡ଼େ ତେ କାତାନାଦ୍ |
| sight | Noun | ଉଡ଼ାନାଦ୍ |
| sign | Noun | ୬,୨ ନାୱାଲ୍ |
| signal | Noun | ଥାନାଞାଲ୍ ମାନ୍ତା ଚିନ୍ନୋ |
| silence | Interjection | କଟ୍ |
| silently | Adverb | କଟା ସାମ୍ K ମାଞ୍ଚା |
| silhouette | Noun | ନୀତ଼୍ କାତ୍ ଥାନାଞାଲ୍ |
| silk cotton tree | Noun | ବୁରୁ ମାଡ଼ା |
| silliness | Noun | ମୂର୍କ୍ ପାନ୍ଦି |
