| English Word | Part of Speech | Odia Translation |
| --- | --- | --- |
| false charge | Adjective | ବୋଲିସାନ୍ |
| କେଶ୍ | | |
| false witness | Adjective | ବୋଲିସାନ୍ |
| ସାକି | | |
| falsehood | Noun | ବଲ୍ଲାନାଦ୍, ଥାପାଦାମ୍ |
| faltering | Verb | ଗିତଗତ ଥାଦାନାଦ୍ |
| familiar | Adjective | ପୁଞ୍ଜା ମାନ୍ଦାନାଦ୍ |
| family | Noun | କୁଟୁମ୍ଲୋଭର୍ |
| famine | Noun | ଥାଶ୍ କେ ଥାଶ୍ କେ ଓାଦାନ୍ କାଷ୍ଟାମ୍-ଦୁମ୍ କାଲ୍ ଦୁମ୍ଭ । ମ୍ ବୂମ୍ ଓାତ୍,ୱାଟେମ୍ |
| famous | Adjective | ଲପାଲ୍ ଅର୍ତୁଣ୍ଢ ସାୟ୍ |
| ମେଲ୍ ଡା ଥାଦାନାଦ୍ | | |
| fan | Verb | ଗାଲ୍ deal ଉଡାନାଦ୍ ତିରିୟିତ୍ |
| fang's | Noun | ତ ସାମ୍ ପାଲ୍ |
| far | Adverb | ଦୂରାମ୍ ତେ, ଜୂୟି |
| farm | Noun | ଟଣ୍ଟା |
| farm house sfield | Noun | ବାଯୁଲ୍ |
| farmer cultivator | Noun | ନାଙ୍ଗେଲ୍ ଉଡ଼ଦାନାଣ୍ତ୍ର |
| farming | Verb | ବୁମ୍ ଠାଡ଼ିୟ |
| fascination | Noun | ତାପ୍ ର ପାଡ଼ିୟ୍ ଦା ଇଷ୍ଟାମ ମାଡ଼ାନାଦ୍ |
| fast | Verb | ଗାପା ଗାପା, ସିଟ୍ ପାଟ୍ ,ଜାପ୍ ପା ପା ଜାପ୍ ପା ପା |
| fastening flowers | Noun | ପ୍୙୍ଙ୍ଗା କୁର୍ସା, କାସାନାଦ୍ |
| fasting | Noun | ଉପାସାମ୍, ଥୟ ମଞ୍ଜା ପ୍ରାର୍ତାନା ତୁଙ୍ଗାନାଦ୍ |
| fat baby | Adjective | ବାଲ୍ ସି ମାନ୍ଦାନ୍ ପିଲ୍ଲା |
| fat 1111 | Noun | ଲାଞ୍ଵ୍ମାନ୍ଦାନ୍ MISS |
