| Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| whole | Adverb | ଗାମ୍ |
| କେ | କେ,ଆକାର୍୍,ନିଟୁମ୍, ସାରେ | ଆକାର୍ ନିଟୁମ୍, nay |
| whole,all | Adjective | ]।ରେ, [ଡ଼କେ |
| ଟୁଟ୍ | କେ |  |
| wholesale | Adjective | ମରା _ କାଳ ପି |
| ଆ | ଥାମ୍ ମାନାଦ୍,ଞାମ୍ ମାନାଦ୍ ମାନାଦ୍, ଞାମ୍ ମାନାଦ୍ | |
| wholly | Adverb | ସାରେ |
| whom | Interjection | ବେନୁକ୍ |
| who-mesculine-plural | Pronoun | SETS |
| who-mesculinesingular | Pronoun | ବେନୋଣ୍ଡୁ |
| who-non  masculine-singular | Pronoun | ବାଦୁ |
| who-non-mesculine-plural | Pronoun | ବାଙ୍ଗୁ |
| whooping cough | Noun | କୁରୂମ୍ |
| whorl | Noun | ତାଲା ଡା ସୁଡ଼ଟ୍ ପଡ଼ିୟ୍ ଦା ଟେକା ଟେକା ମାନ୍ଦା,ଉଣ୍ଡ ରି କେଲ୍ କିନୋଶ୍ଚ |
| whose-singular | Pronoun | ବେନାଦ,ବେନାଦ୍ |
| why | Adverb | ବାରି-ବାତାଙ୍କ୍ |
| wick | Noun | ଦିପେମ୍ ତ୍ ,ଡିଓୱ୍ ରି ଡା ଓତ୍, ସିଲୁପ୍ ପଶା |
| wickedness | Noun | ଟିକ୍ରାମ୍ ଦୁଷ୍ଟ |
| wide | Adjective | ଞେଲ୍ ପ୍ ବାଡ଼ା |
| Widow | Noun | ମୁଣ୍ଡରାଲ୍ ନାଟ୍ ଓଡ଼,ରାଣଶ୍ଭଡେ ମ୍ବଭେ |
| widower | Noun | ମୁଣ୍ତ୍ରାଲ୍ ମାଣୁସ୍ଣ୍ଡ |
| wite | Noun | ମୁତି |
| wite and husband | Noun | ଆଡ଼ିୱଁର୍ |
| wite's younger sister | Noun | ଏଣ୍ଡାଡ଼୍, ଏଣ୍ଡା ମାୟ୍ ୟାଡ୍ |
| wild animals | Adjective | ଗୁପାତେ |
