| Word in English | Part of Speech | Odia Translation |
|-----------------|----------------|------------------|
| grinding curry-stuff | Noun | କାରାମ୍ |
| grinding stone for curry-stuff | Noun | କାମ୍ କା କା କାଲ୍,ପାସ୍ ପ୍ କାଲ୍ |
| grindstone | Noun | ଗର୍ କାଲ୍ |
| gripping pain in the limbs and joints | Noun | ପରାନାଦ୍,ପଢମନ୍ଦେ |
| gripping | Noun | କା ଡଙ୍କା) ଜༀଚାନାଦ୍ |
| grit | Noun | ଇନ୍ନୁକା |
| grocery shop man | Noun | ନଙ୍କା @< ପାପ୍ପ ଞାମ୍ ମାନୋର୍,ଥମାନୋର୍ |
| habit | Noun | GAIA ଥାଲ୍ ଓଟ୍ |
| had Come | Verb | ଓାସ୍ ମାତ୍ ତର୍ |
| hail | Interjection | ଜେୟ୍ ଜେୟ୍ |
| hail stone | Noun | ଥାଜୁରଗାଡା ଆଦୁରଗାଡା, ଆଦୁର୍କ |
| hair | Noun | କେଲକ୍ |
| hair become | lntransitive verb | କେଲ୍ ନବ ପାଣ୍ଡ ଡା |
| hair ଓ | Noun | କୂପ୍ ପାର୍ |
| hair get lengthened | Adjective | କେଲ୍ କ୍ GINS |
| hair get loosened | Adjective | କେଲ୍ କ୍ ଆଭାନାଙ୍କୁ ୱର୍ ର୍ ପାନାଦ୍ |
| hair not comb | Verb | କେଲ୍ କ୍ ଦୁସିଲ୍ଲେ,ଇଡ୍ ଡ୍ ସିଲେ |
| hair 08 the body | Noun | ରୋମା |
| hair 08 witchdoctor | Noun | ଜାଟ୍ |
