| Word in English | Part of Speech | Odia Translation |
| --- | --- | --- |
| twisted thread | Noun | ଜୋପ୍ ପା ପା |
| murum jamili oatanaad |  | ମୁରୁମ୍ ଜାମିଲି ଓାଟାନାଦ୍ |
| twisting | Noun | ପନ୍ଧୁରୁଞାଟାନାଦ୍, ପର ଧରି ଓାଟାନାଦ୍ |
| 800 | Numeral | ସେଲ୍ସ |
| 800 Rupee note | Noun | ରୂପିନ ନଟ୍ |
| two-2 | Adjective | ରେଣ୍ଡୂ |
| two-females-males | Noun | ଭୱ୍ ର, ଇଞର୍ 4 |
| typhoid | Noun | ଆଣ୍ଡ କୋରେ ଏଡ଼୍ କ୍ ଓାଦାନାଦ୍ |
| typhoon | Noun | ତୁପ୍ ପାମ୍ ଗାଲ୍ |
| unemployed | Noun | ପାଡ଼ିୟ୍ ଭଲ୍ଲକଟେ ଓାଟିଦେ ମାନ୍ଦାନାଦ୍ |
| unexpectedly, accidently | Adverb | କେଲ୍ଲକଣ୍ଟେ, ଆଶ୍ଚର୍ଯ୍ୟ କେ ଥାଶ୍ଚକେ |
| unfair | Adjective | ନେରାମ୍ ତେ |
| unfamiliar | Adjective | ପୁନ୍ଦ୍ ଭଲ୍ ଓାନାର୍ |
| unfit | Adjective | ଦୁର୍, ବାୟା ମାନ୍ରୋ |
| unfitting, un-joint | Adjective | ଓଡି ଥାରା, ର ଆତା |
| unformed | Adjective | ଇଦିଲ୍ ଡା |
| unfriendly | Adverb | କୁଏଙ୍ଦିଲ୍ବାନ୍ |
| unfurl the flag | Verb | ଜେଣ୍ଢା ଲେତାନାଦ୍ |
| ungodly | Verb | ଆମ୍ବତ୍ ଟିକ୍ ରାମ୍ ତୁଙ୍ଗାନାଦ୍ |
