| English Word | Part of Speech | Odia Translation |
| --- | --- | --- |
| regularity | Noun | ନିୟାମ୍ ପ୍ରାକାରାମ୍ |
| reindeer | Noun | କଡ଼ମାମ୍ |
| relationship | Noun | ଜାତା ଜୋକ୍ କା |
| relative | Noun | ସୁଟ୍ଟୁମିର୍ |
| relax while | Verb | ଉଟସାନାଦ୍, ଥାର୍ ଓଠ ମାୟ୍ ଟିସାନାଦ୍ |
| religious | Adjective | ଦାର୍ମାମ୍ |
| remarriage | Noun | ମେଣ୍ଡୋନ୍ ତାମ୍ ପେଣ୍ଡୁଲ୍ ମାଡ଼ାନାଦ୍ |
| remedy | Noun | ସାୟା ଥାଦାନ୍ ମାୟ୍ ଦିଙକ୍ ତୁଙ୍ଗାନାଦ୍ |
| remembrance | Adjective | ଏ୍ଦ୍ କି ମାଡ଼ାନାଦ୍ ଓାଟାନାଦ୍ |
| remission | Noun | ତ୍୍ଡ଼୍ ସୀଦାନାଦ୍ |
| remittance | Noun | ଦୂରାମ୍ ଡ଼ାବ୍ କ୍ ଲୋତାନାଦ୍, ରୋତାନାଦ୍ |
| †୯୦୩୦୮୪୧୭୯୦୯ | Noun | ଜୀଞାମ୍ ତେ ମାଡ଼୍ ଡା ପା ପା ସେଙ୍ଗେ କାଷ୍ଟାମ୍ ଥାଦାନାଦ୍ |
| removing shoes | Verb | ଟେଣ୍ଢା ତୀସାନାଦ୍, ଏର୍ପୁକ୍ କୁସ୍ ପାନାଦ୍ |
| removing thorns from rice | Verb | ତୀପାନାଦ୍ |
| †ଓ୯୮୩୦୩୪୮ | Noun | ମେଲ୍ ଡା ପେଦେର୍ |
| repair - stitching - the nets | Verb | ଆଲ୍ଲା ଥଲ୍ ସାନାଦ୍ |
| repair the vehicle | Verb | ଓଲ୍ ସାନାଦ୍ |
| repairing cycle | Adjective | ସାକ୍ କୀଲ୍ ସାୟ୍ କୀଦାନାଦ୍ |
| Reparative clitic, address | Noun | ବାର, ବାରେ |
| Reparative clitic, approval | Interjection | ଥାଲ୍ ଲେ ଆୟ |
| repay | Verb | ଡାପ୍ କ୍ ମାଲ୍ |
