| Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| ଇଣ୍ |  | ଇନ୍ଦ୍ର |
| ପୋରୈ |  | ପରେଇବା |
| ଉଣ୍ଡ |  | ଉଣ୍ଡ |
| ପୋରେଁ |  | ପରେଇବା |
| ଭଣ୍ଡ |  | ଶୁଣ୍ଡୀ |
| complaint | Noun. | ତାପ୍ ପୁ-ମାଟା |
| ତେ |  | ତେ |
| ମାଲ୍ |  | ମାଲ୍ |
| ଓର୍ତୋନ୍ |  | ଅର୍ଥୋନ୍ତ |
| କିଙ୍କ୍ |  | କିଂକର |
| କେଚିଦାନାଦ୍ |  | କେଉଁମାଁନଙ୍କ |
| ରୋଦାମ୍ |  | ରୋଡ଼ାମ୍ |
| ତେ |  | ତେ |
| ମାଟା |  | ମାଟା |
| କେତାନାଦ୍ |  | କୁଣ୍ଡାନାଦ୍ |
| complete | Adjective. | ପୂର୍ଣ୍ଣ |
| -burnt |  | ଉଡ଼ଗିବା |
| ଥାକାର୍ |  | ଥକୁର୍ |
| ଉଡ଼ଗ |  | ଉଡ଼ଗ |
| ଥାତ୍ |  | ଥାତ୍ |
| complex | Noun. | କଷ୍ଟାମ୍ ଓଡ଼ |
| complexion | Noun. | ଥାଣ୍ ସାଲ୍, ଥମ୍ ରୋ |
| compulsory | Adjective. | ବାସ୍ ମିଲ୍ ଲି |
| compunction | Noun. | ଉସ୍ବର୍ ଜୀଞାମ୍ ଥାଲ୍ ପ୍ |
| comrade | Noun. | ସାଙ୍ଗ୍, ଜାରା |
| conceal | Verb. | ମିଛାନାଦ୍, ରର୍ତାନାଦ୍ |
| conceive | Verb. | ଡକ୍ କାତ୍ ମିନ୍ଦେ |
| concubine | Noun. | ସୁଡ଼ଲା ମ୍ବଭେ |
| condemn | Verb. | ତେନ୍ ଶ୍ କାନାଦ୍ତେନ୍ ଶ୍ କାନାଦ୍ |
| condemnation | Noun. | ଭଲ୍ଲେ, ଅଦ୍, ଉମା ଭଞ୍ଜୋ କେଉଶାନାଦ୍ |
| conduct | Noun. | ବୁଦ୍ଦି |
| confess | Transitive verb. | ଥପାନାଦ୍ |
| confession | Noun. | ପାପାମ୍ ପାଡ଼ିୟ୍ ଅପୁନ ଜିଞ୍ଜାନାଦ୍, ତାପ୍ ପୁ ପୁନ୍ ଜି ଞ୍ପଡ଼ସାନାଦ୍ |
| confident | Adjective. | ନିଜାମ୍ ନାମ୍ କାମ୍ |
| conflict | Noun. | ଡଓେରେ ଡଓେରେ, ରେକ୍ କା ରେକ୍ କା ଗଟ୍ଟି |
| confront | Verb. | ଏଦୁରେ ନିଲ୍ ଶି ବିରୋଦା ପାଡ଼ିୟ୍ ମାଡ଼ାନାଦ୍ |
| confuse | Verb. | ଅରାଗା ଥାଲ୍ ପ୍ |
