| Word in English | Part of speech | Odiya Translation |
|---|---|---|
| lively | Adjective. | ଜୀଞାମ୍, ବାତ୍ କ୍ |
| ମାନ୍ଦାନାଦ୍ |  |  |
| liver | Noun. | ଦର୍ବା |
| living | Verb. | ଦ୍ବାର, ବଦ୍ କି |
| ଜୀୱାମ୍ ମାନ୍ଦାନାଦ୍ |  |  |
| lizard | Noun. | ଗିଲେକ ଡ଼କା |
| load | Verb. | ମୋସିମ୍ |
| loan | 15 ବୃନୁ୦୮ Adjective. | ଲୋନ୍ ନାନ୍ଦି |
| ମିନ୍ଦେ |  |  |
| loan, credit | Noun. | ଉଦାର୍, ଆପ୍, ବାକି |
| lock the door | Noun. | ଗୁମାତାକାପାନକା, ତା ଲେକ୍ କାୟ୍ ଦେ ତାଲେମ୍ ଓସା |
| locker | Noun. | ତାଲାକାୟି, କାପ୍ ପା |
| locusts »>2lass hopper | Noun. | ଭଟ୍ କେ, ଇଟେମ୍ |
| lofty mountain | Adjective. | ଏତୁଗ୍ ମେଟା |
| log ୦୮ wood | Noun. | ମଦ୍ |
| loin cloth, body (୦୪୦୮ with piece ୦୮ cloth | Noun. | ଉତ୍ ଗୋଶ୍ ଓଟ ମାତୋଣ୍ଡ, ମାତୋଣ୍ଡ, ଉଦାଡ଼୍ ଉଦ୍ଦାଡ଼୍ |
| lonely | Adjective. | AGES |
| long narrow wooden comb for clearing the hair ୦୮ nits and lice | Noun. | ଚ୍ଚର୍ ପାଡ଼ିୟାମ୍ |
| long teeth | Noun. | କୀସ୍ ପାଲ୍ |
| long vacation | Adjective. | ନାଗେଁ ରୋଜ୍ ଛୁଟି |
| longing | Noun. | କୋରାନାଦ୍, ନାର୍ଗେ ଇଷ୍ଟାମ୍ ଇଷ୍ଟାମ୍ ଆଦାନାଦ୍, ନେଚାନାଦ୍ ॥ଦାନାଦ୍, ନେଚାନାଦ୍ |
| look about | Verb. | ନାଲୁ ପାକ୍ କା ଉଡ଼ାନାଦ୍ |
