| Word in English | Part of Speech | Odia Translation |
| --- | --- | --- |
| ମା | Verb. | କେଲ୍ ମା |
| don't tell | Verb. | କେଲ୍ ମା |
| don't want | Interjection. | ଦର୍କାର୍ ଇଲ୍ଲେ |
| don't you drink? | Verb. | ଉନିନା ଥାନ୍ ଞ୍ପନ୍ ?ଆନିନ୍? |
| donkey | Noun. | ଗାଡ଼୍ ଦେ |
| donor | Noun. | ମେଲ୍ ତା ପାଡ଼ିୟ୍ |
| ସେଙ୍ଗେ ଭଷ୍ଟାମ୍ ତେ ଡ଼ାବ୍ କ୍ ଇଦାନୋର୍ | Noun. | ସେଙ୍ଗେ ଭଷ୍ଟାମ୍ ତେ ଡ଼ାବ୍ କ୍ ଇଦାନୋର୍ |
| door | Noun. | ତାଲୁପୁ, ମାର୍ , ଗୁମ୍ମାମ୍ |
| dose | Noun. | ମାତ୍ରା,ଗୋଲି |
| dot,small round mark | OT | spot | Noun. | ବଟ୍ ଆଟା Ga କା |
| dot's | Noun. | GIGS GIGS |
| doubt | Noun. | ଡଓେରେ ଥାଲ୍ ୧ ,ଡ଼ାୱ୍ ଟ୍ |
| doubtful | Adjective. | ସନ୍ଦେହ,ନାମ୍ ଜାଲ୍ ale କାମ୍ ଭଲ୍ ଠା ମାଟା |
| dove | Noun. | ପଡ଼େପିଟେ |
| dove Star | Noun. | ପଡ଼େ ଉକ୍ କାକ୍ |
| ଓ୦୪୯,୮12୦୦୮୩ | Noun. | ପଡ଼େ-ପିଟେ |
| dove-hole | Noun. | ପାରା ପିଟେନ୍ ଗୃଡ଼ା |
| down | Adverb. | ଇଡ଼ିପେ |
| down fall | Noun. | ନାଶ୍ଟାମ୍ । ଥାଦାନାଦ୍ |
| down, floor | Noun. | ନେଲ୍ |
| dowry | Noun. | କାଟନାମ୍ |
| drag, pull | Verb. | କ୍ୟଗିତା, ୩୮ଗ୍ ତଣ୍ଡ |
| dragging | Verb. | ମେଲ୍ ଲି ମେଲ୍ ଲି ଲାଗମିନ୍ଦୋର୍, ଲାଗମିନ୍ଦୋର୍, ୋଦାନାଦ୍ ୱାଦାନାଦ୍ |
| dragon bird | Noun. | ଥାସ୍ ପିଟେ |
| dragon fly | Noun. | ଗୁଗେ ବିଭୋ |
