| Word in English | Part of Speech | Odia Translation |
| --- | --- | --- |
| stick to tie the COWS | Noun | କୁଝାମ୍-କୂଟା |
| sticker | Noun | ବଟ୍ କ୍ |
| stickiness | Verb | ଏ॥ଞେର୍ ପୟ୍ ତ୍ |
| sticks,stick | Noun | ଡତୁଡ଼, ଡୂଡି |
| stimulate | Verb | ମାଡ଼ାନାକ୍ଲୁ ଭଷ୍ଟାମ୍ |
| sting | Noun | କଣ୍ଡୁ, ଏହୁ କୋଡ଼େଲ୍ |
| stink, stench | Noun | କାରାବ୍ ଗାବ୍ ବୁ |
| stir | Verb | କେଲ୍ କାନାଦ୍ |
| stomach | Noun | ବରା |
| stomach ache | Noun | ଡକ୍ କା ନପ୍ |
| stomach burning | Noun | ଡକା |
| stomach pain | Noun | କାନ୍ ସ୍ କା |
| stomach ulcers | Noun | ଡକ୍ କା ଡା |
| stone | Noun | କାଲ୍ |
| stone 08 otha fruit, seed, pith 08 the plantain tree | Noun | ଟେକା |
| stone used for sharpening an ମ 9 ଶୁ ସୀ | Noun | ମେୟ୍ ତାନ୍ କାଲ୍ ଥାକ୍ ରାୟ୍ |
| 78010,1008 | Noun | ରାୟ୍ ` , ଗୁଣୁମ୍ |
| stones separate from rice | Noun | ନୁଙ୍କା ତରପାନାଦ୍ |
| stool | Noun | ପୀ, ପେଲାନାଦ୍ |
| stop smoking | Verb | ସୁଝା ଉନ୍ ମା |
| stopping vehicle | Noun | ନିଲ୍ ମ୍ |
| ଆଙ୍ଗା- ବାଣ୍ଡ ତିନ୍ ନିଶ୍ ଠା, କଟ୍ କଟ୍, ମାନ୍ | N/A | N/A |
