| English Word | Part of Speech | Odiya Translation |
|--------------|----------------|-----------------|
| quarrel | Intransitive verb | ପତାନାଦ୍‌ |
| raise | Transitive verb | କିୟାନାଦ୍‌ |
| rear the fowl | Verb | କୋର୍କ୍‌ |
| receive, catch | Transitive verb | ଏନ୍ତାନାଦ୍‌, ପୟ୍‌ ତାନାଦ୍‌ |
| remove shoes, clothes, etc. | Transitive verb | କୁସ୍‌ ପା |
| return, turn back | Intransitive verb | ସାନାଦ୍‌ |
| ring bell | Transitive verb | ସେନ୍‌ |
| rise from sleep | Verb | ଭଞ୍ଜ |
| rise high up | Verb | ନାର୍ଗେ AG |
| roast | Transitive verb | ପଡ଼ସାନାଦ୍‌ |
| rot | Intransitive verb | କାଡ଼ିଇତା |
| run | Intransitive verb | ମିରାନାଦ୍‌ |
| scold | Transitive verb | ମାୟ୍‌ |
| search | Transitive verb | ମେକାନାଦ୍‌, ସାମାନାଦ୍‌ |
| see | Transitive verb | ଉଡ଼ାନାଦ୍‌ |
| beautiful | Adjective | ଉଡ଼ାନୁକ୍‌ ଗାଟି, ଭଡ଼ାନୁଙ୍କ୍‌ ଗାଟି |
| sell | Transitive verb | ସାମାନାଦ୍‌, ଆମ୍ମାନାଦ୍‌ |
| send | Transitive verb | ଆମ୍ମାନାଦ୍‌ |
| serve food | Transitive verb | ତ୍ତାନାଦ୍‌ |
