| English Word | Part of Speech | Odiya Translation |
|--------------|----------------|------------------|
| water-to be split | Intransitive verb | ତୋଲ୍‌ କିତ୍‌ |
| watery stools | Noun | ସିରୋସାନାମ୍‌, ସୁରୁସୁରି ପେଲାନାଦ୍‌ |
| wave | Verb | RIA କ୍‌ ଉତ୍ତାନାଦ୍‌ |
| waves | Noun | ତଲ୍‌ କୁ |
| way | Noun | ଆର୍‌ |
| we (excl,near) | Pronoun | ମାମ୍ମେ,ମାମ୍‌ ମା |
| we (excl) will see | Verb | ମାମ୍‌ ମା ଉଡ଼ିଭ୍ତୋମ୍‌ |
| we (incl)see,we will see | Verb | ମାନ୍‌ ନାଡ଼୍‌ (ଲ୍‌) |
| we are playing | Verb | ମାମା କାର୍ସ ମିନ୍ଦମ୍‌ |
| we play,we will play | Verb | ମାମା କାର୍ସିତମ୍‌ |
| we played | Verb | ମାମା କାର୍ସତମ୍‌ |
| we were playing | Verb | ମାମା କାର୍ସମାତ୍ତୋମ୍‌ |
| we will be playing | Verb | ମାମା ମା |
| @leg | - | Not found |
| we(excl) | Pronoun | Al |
| we(incl near) | Pronoun | Not found |
| we(incl) | Adjective | ARI, Ale |
| weakling | Noun | ଉସି ପାରିମିନ୍ଦଣ୍ଡ, ନିର୍ସାଙ୍ଗ୍‌ ଆଦାନାଦ୍‌ |
| wealth | Noun | ସାଂସାରାମ୍‌, ସୋମ୍‌ |
| weapons | Noun | ଗୁଦାଡ଼୍‌, ବାଣ୍ଡା,ଞିଲ୍‌, ଗାଡ଼େଲ୍‌, ନୋଡ଼େ, କେଶ୍‌ ଶେର୍‌ବାର୍ସି, ମତାଂ ଆସ୍ତ୍ରାମ୍‌ |
| wear ,cloth | Verb | ( ଗୁଡ଼ା) ଉର୍ସା |
