| Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| whole | Adverb | ଗାମ୍‌ |
| whole, all | Adjective | AGA, AER |
| wholesale | Adjective | ମଭାମ୍‌ କାଲ୍‌ ପି, ଆମ୍‌ ମାନାଦ୍‌, ୱାମ୍‌ ମାନାଦ୍‌ |
| wholly | Adverb | ସାରେ |
| whom | Pronoun | ବେନୁରୁ, ବେନୋଣୁ, ବାଦୁ, ବାରୁ |
| whooping cough | Noun | କୁରୁମ୍‌ |
| whorl | Noun | ଦା ଟେକା ଟେକା ମାନ୍ଦା, ଉଣ୍ଡ, ରି କେଲ୍‌ କିନୋଣ୍ଡ |
| whose | Pronoun | ବେନାଦି, ବେନାଦ୍‌ |
| why | Adverb | ବାରି-ବାତାଙ୍କ୍‌ |
| wick | Noun | ଦିପେମ୍‌ ତ୍‌, ଡିୱ୍‌ ରି, ତା ଏାତ୍‌, ସିଲୁପ୍‌ ପଶା |
| wickedness | Noun | ଟିକ୍ରାମ୍‌, ଦୁଷ୍ଟ, //6/// |
| wide | Adjective | ପ୍‌ ବାଡ଼ା, 6@Q A |
| widow | Noun | ମୁଣ୍ଡ ରାଲ୍‌ ନାଟ୍‌, GIG, AICS, ମୁରେ |
| widower | Noun | ମୁଣ୍ତରାଲ୍‌ ମାଣୁସୁଣ୍ଠ |
| wife | Noun | ମୁତି |
| wife and husband | Noun | USga |
| wife's younger sister | Noun | NBIE.NBI ମାୟ୍‌, ୟାଡ୍‌ |
| wild animals | Adjective | ଗୁପାତେ |
