| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| obstacle | Noun | କେଞ୍ଜାନାଦ୍‌, ଆଡାମ୍‌ |
| obstinacy | Noun | ଆଡାମ୍‌ |
| inflexible | Adjective | ଗାଟି ପୀଲା AQ |
| occasionally | Adverb | ବେସ୍‌ କେ |
| occurrence | Noun | ମାଟା, ଓିଷାୟାମ୍‌, ଆଦାନାଦ୍‌ |
| not applicable | Preposition | ନାଦ୍‌, ଉନାଦ୍‌, ଉରାଦ୍‌, ଦୁରାମ୍‌ |
| offal | Noun | AGE ତାଦ୍‌ |
| offence | Noun | ନେରାମ୍‌, ତାପ୍‌ ପୁ |
| offer | Noun | ୮୪/୮୨. ଅପିଦାନାଦ୍‌ |
| offering | Noun | ଚାନ୍ଦା, ଭଦାନାଦ୍ଧ ହଣ, ଅର୍ପିତ ଦାନ ବା |
| often, repeatedly | Adverb | ମାଲ୍‌ ଲା, ମେଣ୍ଡେ ମେଣ୍ଡେ, ନାର୍ଗେ ତାମ୍‌ |
| not applicable | Interjection | ଓ ୟାୟୋ, ଓ |
| oil | Noun | ନିୟ୍‌, ସା |
| oil-press | Noun | FQ ନେସ୍‌, ସିତର୍‌-ଗେରାନିୟ୍‌ ନେତାନାଦ୍‌ |
| oil used for grey-hair | Noun | କେଲ୍‌ କ୍‌ ଜୂରା ନ୍‌, କାରି ଆଦାନ୍‌ ନିୟ୍‌ |
| oil, ghee | Noun | ପାଲ୍‌ ନିୟ୍‌ |
| oiling | Verb | ନୀ ନେତା ନାଦ୍‌ |
| ointment | Noun | ରାସାନାଙ୍କ୍‌ ମାତ୍‌ |
| old | Adjective | ୨୮୧୮. ଓାୟାଶ୍‌ |
