| English Word | Part of Speech | Odia Translation |
| --- | --- | --- |
| a | Adjective&Article | ଅରୋଟ୍‌ |
| according | Adverb | ଆଦିଙ୍କ୍‌ ଲେକେ |
| as | Coordinating connective | ବେନ୍‌ ଲେକାନ୍‌ |
| as a result of | Noun | ଆତ୍‌ କାଡୁ, ଓାତ୍‌ କେ |
| as if | Subordinating connective | ବେଲେ ଆଲେ |
| as soon as | Correlative connective | ଆଶ୍‌ କେ ଆଶ୍‌ କେ |
| as well | Subordinating connective | ମେଣ୍ଡେ ବା |
| ascent | Verb | ତାର୍‌ AIRIE |
| ash | Noun | ବୁଡ୍‌ ଦି |
| ashamed | Adjective | ବାର୍ତୋନାଦ୍‌ |
| ashes | Noun | ଆକାର୍‌ ମାଡ୍ଜି ଆତ୍‌ |
| aside | Adverb | ଅଣ୍ଡୋୟ୍‌ ପାକ୍‌ କା |
| ask | Verb | କେସ୍‌ AGIAIQ |
| ask about a person | Verb | ତୁଙ୍ଗା |
| ask for | Verb | ଲିସାନାଦ୍‌ |
| ass | Noun | ଗାଡ଼୍‌ ଦେ |
| assemble | Verb | ଗୁଡାନାଦ୍‌ |
| association | Noun | ସର୍ରାତୋର୍କିଙକ୍‌ ସାୟାମ୍‌ ଉଡ଼ାନ୍‌ ସାଙ୍ଗାମ୍‌ |
| asthma | Noun | ନେସ୍‌ କାନାଦ୍‌ କାଷ୍ଟାମ୍‌ ଆଦାନାଦ୍‌ |
| astonishing | Adjective | ପୋୟ୍‌ 6AID |
| astringent | Noun | ଅଗର୍‌ |
| astronomer | Noun | ମୁନ୍ରେଟ୍‌ ପେର୍‌ କେଟ୍‌ ମାଟା କେତାନୋର୍‌ |
| astronomy | Noun | ପାଞ୍ଚେଗା |
