| English Word | Part of Speech | Odiya Translation |
|--------------|----------------|------------------|
| a            | Adjective&Article | ଅର୍ରୋଟ୍‌ |
| a few        | Adjective      | ଇକୁଡ଼୍‌ |
| a little     | Adjective      | ଉଚୁଟ୍‌ |
| a short time | Adjective      | A@C |
| abandon      | Verb           | ସିଦାନ୍‌ |
| abashment    | Noun           | 9 |
| abdomen      | Noun           | ଡଙ୍କା |
| abdominal    | Noun           | ଡକା, ଡଙ୍ଗ୍‌ |
| aberration   | Noun           | ନିଜାମ୍‌ ଦାର୍ମାମ୍‌ |
| ଆର୍କୁଞ୍ଚି ୱୀରାନାଦ୍‌  | N/A            | ଆର୍‌ କୁଞ୍ଚି ୱୀରାନାଦ୍‌ |
| abide in     | Verb           | ମାଟ୍ଟାତ୍‌ ଲେକେ |
| AIGA         | N/A            | ତୁଙ୍ଗାନାଦ୍‌, ଜୋଡ଼େମ୍‌ |
| ଆଶ୍ ମାନ୍ଦାନାଦ୍‌ | N/A            | ଆଶ୍‌ ମାନ୍ଦାନାଦ୍‌ |
| abomination | Noun           | ପାଶ୍‌ |
| କାନାଦ୍‌, ପେର୍ଲାନାଦ୍‌ | N/A            | କାନାଦ୍‌, ପେର୍ଲାନାଦ୍‌ |
| abortion     | Noun           | ପିଲା ଡକାତା କାର୍‌ ସିଂ |
| ଆନ୍ଦାନାଦ୍‌ | N/A            | ଆନ୍ଦାନାଦ୍‌ |
| about        | Adverb         | ଏ ଏତିତ୍‌ |
| about to do  | Preposition    | ଏରୌଣ୍ଡ |
| above        | Preposition    | ପର |
| abscess      | Noun           | ବଗ୍‌ ଗା |
| absent       | Adverb         | ମାନ୍ୋ |
| abstinent    | Noun           | GIMER¢] |
| abundance    | Adjective      | @6@@ |
| abuse        | Verb           | ମାୟ୍‌ ମ୍‌ |
| acceptance   | Noun           | ନାମ୍‌ କାମ୍‌ |
| ମାଡ଼ାନାଦ୍‌          | N/A            | ମାଡ଼ାନାଦ୍‌ |
| accident     | Noun           | ତାଲ୍‌ ଗ୍‌ ତା |
| according to | Adverb         | ପରାକାରାମ୍‌ |
