| English Word | Part of Speech | Odiya Translation |
|--------------|----------------|------------------|
| drain | Noun | ଗେଞ୍ଜ ସାଞ୍ଚାନାଦ୍‌ |
| drake | Noun | ପୋତ୍‌ SI |
| draper | Noun | ଗୁଡ଼ା ସୀଲେ ଆମ୍‌ ମାନୋର୍‌ |
| draw | Verb | ଲାଗା, ଡୁଞ୍ଜିଙ୍କାନାଦ୍‌, ଟେଣ୍ଡାନାଦ୍‌, ଲାଗାନାଦ୍‌, (ଗଡ଼୍‌ ୩) ମାଡ଼ାନ୍‌ ବୂମ୍‌ ତା ତାୟାର୍‌ ଆଦାନାଦ୍‌(କାଦ୍‌ ଲାନାଦ୍‌) ରାସାଟ୍‌ |
| draw back | Verb | କାମ୍‌, ଦାକ୍‌ Gl ଆଦାନାଦ୍‌ |
| draw milk from cow(vt) | Verb | ପାଲ୍‌ ପୀରାନାଦ୍‌ |
| draw off | Verb | ମାଲ୍‌ ସି ଆନ୍ଦାନାଦ୍‌ |
| draw out | Verb | ଟେଣ୍ଡାନାଦ୍‌, ଲାଗାନାଦ୍‌ |
| draw up | Verb | ଲଡ଼ାୟ୍‌ ଆଦାନାଦ୍‌(କାଦ୍‌ ଲାନାଦ୍‌) ମାଡ଼ାନ୍‌ ବୂମ୍‌ ତା ତାୟାର୍‌ |
| drawing darkness | Verb | ମାଚ ସିକାଡ଼ ଆଚମିନ୍ଦେ |
| dream | Noun | କାଲ୍‌ ଓରାମ୍‌, କାଲାଦ୍‌ |
| dressed in a rope reaching down to his feet | Noun | କାଲ୍‌ କିନା (IQ GIG) ମୟି ମାନ୍ଦାନ୍‌ gal AGA |
| dried-up kera | Noun | ବାଦ୍‌ ତୁଙ୍ଗାନାଦ୍‌ |
| drink | Noun | ଉଣ୍ଡାନାଦ୍‌ |
| drip,trickle | Verb | ପେରେନି ଚଟ୍‌ ଚଟ୍‌ ଏଡିୟମିନ୍ଦେ |
| drive | Verb | ଓସାନାଦ୍‌,
