| Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| verb. | - | - |
| to comb out nits | Transitive verb | ଦୁସାନାଦ୍‌, ଇଡ଼୍‌ ସାନାଦ୍‌, ପାଡ଼ିୟାମ୍‌ ତେ, ଦୂସାନାଦ୍‌ |
| to come | Intransitive verb | ଏ ଦାନାଦ୍‌ |
| to come out, to start on journey | Intransitive verb | ପେୟ୍‌ ସି ଆନ୍ଦାନାଦ୍‌ |
| to console | Transitive verb | ସାମାତ୍‌, ତୁଙ୍ଗାନାଦ୍‌ |
| to cook | Transitive verb | ଆଟାନାଦ୍‌, ଆଟାନାଦ୍‌, ଦୋଡ଼ା ଆଟାନାଦ୍‌ |
| to cover, to close eyes | Transitive verb | ଲୋନ୍‌ ଞେସାନାଦ୍‌, ମୁଚ଼ାନାଦ୍‌ |
| to crawl | Intransitive verb | ପଲାନାଦ୍‌, ପର୍ଲାନାଦ୍‌ |
| to cross | Transitive verb | ଡାଣ୍ଡାନାଦ୍‌ |
| to crush | Transitive verb | ଅଗାନାଦ୍‌, ରାକାନାଦ୍‌ |
| to cry | Intransitive verb | କେୟାନାଦ୍‌ |
| to curse | Transitive verb | ସାଞ୍ମିସାନାଦ୍‌, ନେରାମ୍‌, ମାଡ଼ାନାଦ୍‌ |
| to dawn, early morning | Intransitive verb | ପାଲ୍‌ ପାଲ୍‌, ୱ୍ଧୟାନାଦ୍‌ |
| to dawn, open (day break) | Verb | ବାଙ୍ଗ ଆଦାନାଦ୍‌ |
| to deduct money | Transitive verb | ଡାପ୍‌ କ୍‌ |
| to defeat | Transitive verb | କୟ୍‌ ତାନାଦ୍‌, ଆର୍ପିସାନାଦ୍‌ |
| to defecate | Intransitive verb | ପେଲାନାଦ୍‌ |
| to die | Intransitive verb | ଡୋଲାନଦ୍‌ |
| to dig | Transitive verb | କାମ୍‌ |
