| English Word | Part of Speech | Odiya Translation |
|--------------|----------------|------------------|
| hereafter    | Adverb         | ଇଦିନ୍‌ ପେର୍କେ           |
| hereby       | Adverb         | ଇଦିନ୍‌                   |
| herein       | Adverb         | AER ନାତୃମେ              |
| hereto       | Adverb         | ଇଙ୍କାଦାଙ୍କ୍‌             |
| hereupon     | Adverb         | RGR ପରେ                  |
| hero         | Noun           | ସୋକ୍‌ ବାଲାମ୍‌, ସୋକ୍‌ ସୋକ୍‌   |
| heroine      | Noun           | ସୋକ୍‌ ମାନ୍ଦାନ୍‌ ନାଟ୍‌ GI |
| heroism      | Noun           | ସାତ୍‌ ଓମ୍‌, ସାକି         |
| heron        | Noun           | କୋଙ୍ଗା                  |
| hesitation   | Noun           | AVL, AUA, GER, ଓଟ୍ଟିଭୋର୍‌  |
| hibiscus     | Noun           | ମାନ୍ଦାର ପୂର୍ଗାର୍‌          |
| hiccup       | Noun           | ଉଟ୍‌ କ୍‌ CAI              |
| hidden       | Verb           | ମିଞ୍ଜାନାଦ୍‌              |
| hieratic grass | Noun         | Jal                |
| high status  | Noun           | ବେଡ଼ିୟା AGA, ତା ମାନ୍ଦାନୋର୍‌ |
| high, lofty  | Adjective      | ବାରା, ବେଡ଼ିୟା, .4/7/?× |
| higher education | Adjective | ବେଢ଼ିୟା ସାଦ୍‌ G           |
| highway robber | Noun        | କାୟ୍‌                 |
| hill         | Noun           | ଗୁବାଲ                   |
| him          | Pronoun        | କିଙ୍କ୍‌, ଉଙ୍କ୍‌, QQ, SRA |
| himself      | Pronoun        | ଉଣେ ଆସ୍‌                 |
| hind         | Noun           | ଡାଡା ଗରି               |
| hinder       | Noun           | ଆଡାମ୍‌ ଓଟ୍ଟାନୋଣ୍ଡ             |
| hippopotamus | Noun           | ଏବାରା                  |
