| Word in English | Part of Speech | Odiya Translation |
| --- | --- | --- |
| Interjection | Interjection | ନିମେ ବେଏଲା |
| ଦାତ୍‌ | N/A | ତିନ୍‌ |
| however | Coordinating Connective | ବେଲା ବା |
| however | Adverb | ବେଲେ ଆତ୍‌ କେ |
| howsoever | Adverb | ବେନ୍‌ ଲେକ୍‌ କାମ୍‌ ବା |
| huge | Adjective | ନାର୍ଗେଁ |
| profit | Noun | ଲାବାମ୍‌ |
| human | Adjective | ମାଣୁଷିନ୍‌ ମାଟା |
| humane | Noun | ଦୟାଳୁ, ଅନୁଚାହଶୀଳ |
| humble, meek | Adjective | ନେମ୍‌ ଲା, ନିଜେ ନିଜେ କିଙ୍କ୍‌ ଚିନା, ଚୁତୁଲା ମାଡ଼ାନାଦ୍‌, ଆଲ୍‌, ସାନାଦ୍‌ |
| humbly | Adverb | ନେମ୍‌ ଲାତେ |
| humidity | Noun | ନାନ୍ଦି ମିନ୍ଦେ |
| humiliation | Noun | ସିଗ୍‌, ତେନ୍‌ ସ୍‌ କାନାଦ୍‌ |
| humour | Noun | କାୱ୍‌ ସାନାଙ୍କ୍‌ ମାଟା |
| humpback | Noun | ଗୁନ୍ନାଲ୍‌, ଗୁନ୍‌ ନଲ୍‌ |
| hunchback | Noun | ଗୁଲୁ ଓାଇିଂ |
| FIER, FQA ତେଦ୍‌ | N/A | AR GI |
| hundred | Numeral | ସାନ୍ଦା |
| hunger | Noun | କାରୁଞ, କାରୁ ପୋୟତା |
| I became great | Verb | ନାନା ବେଡ଼ିୟୋନ AGIA |
| I could not (come) | Verb | ପାର୍ତିଲେଣ୍ଡ ଏଥିବେ |
| Idiot | Noun | ନିଷ୍ଠୁର, ମୂର୍ଖ, ଭଁଇଙ୍ଗ, ବୋକ, ହେଡ଼ା, ମଗଜଳା, ହାଣ୍ଡୁଆ, ପାଗଲ |
