| English Word | Part of Speech | Odiya Translation |
|--------------|----------------|------------------|
| a            | Adjective&Article | ଅରୋଟ୍‌ |
| accordingly | Adverb | ଆଦିଙ୍କ୍‌ ଲେକେ |
| to become ripe | Intransitive verb | ପାଣ୍ଠି ଆନ୍ଦାନାଦ୍‌ |
| to begin to do something | Intransitive verb | ମଦଲିସିନାଦ୍‌ |
| to bend | Intransitive verb | ଚ଼ାନାଦ୍‌ / ଏନ୍‌ |
| to bite | Transitive verb | କାଛାନାଦ୍‌ |
| to bloom flower | Intransitive verb | ପୂଙ୍କାର୍‌ ଯାତାନାଦ୍‌ |
| to blow the nose | Transitive verb | ସିମୁର୍‌ ସିନ୍ଦା |
| to book ticket | Transitive verb | ଟିକେଟ୍‌ କୟ୍‌ ତାନାଦ୍‌ |
| to bow | Transitive verb | ମଡ଼କାନାଦ୍‌ |
| to break as arope | Transitive verb | ଦେତାନାଦ୍‌ |
| to break(coconut) | Transitive verb | ପାତାନାଦ୍‌ |
| to break(door) | Transitive verb | ଏଲ୍‌ |
| to bring | Transitive verb | ଗିଆଇ, ଗିଗିଗିକ୍‌ |
| to build house wall | Transitive verb | ଲୋନ୍‌ ତେତାନାଦ୍‌ |
| to build road | Transitive verb | ରୋଡ଼୍‌ ତଚାନାଦ୍‌ |
| to bury | Transitive verb | ମିଚାନାଦ୍‌ |
| to call | Transitive verb | କାର୍‌ଙ୍ଗିତା |
| to carry child | Transitive verb | ଏଭି, ଡୋଦାନାଦ୍‌ |
| to carry weight | Transitive verb | ମୋସାନାଦ୍‌ |
| to catch,to hold | Transitive verb | ପଇମ୍‌, ପୟ୍‌ ତାନାଦ୍‌, ଆ, ଆଆ ତାନାଦ୍‌ |
| to cause | Transitive verb | ଏଡ଼ପିସା ନାଦ୍‌, ଏର୍‌ ଆଇ ତିନ୍‌ |
| to cause to bathe | Transitive verb | ଏଡ଼ପିସା ନାଦ୍‌, ଏର୍‌ ଆଇ ତିନ୍‌ |
