| English Word | Part of Speech | Odiya Translation |
| --- | --- | --- |
| mother | Noun | ୟାଏ, ୟାୟୋ |
| mother in law, aunty | Noun | ପୟେ |
| mother land | Noun | ବୂମ୍‌ ୟାୟୋ |
| mother's father | Noun | ତାତାଲ୍‌ |
| mother's mother(grandmother) | Noun | କାକ |
| mother's younger sister, stepmother | Noun | ସିନି ୟାୟୋ |
| mother-in-law | Noun | ପୋୟେ |
| mountain | Noun | ମେଟା, 6¢1¢! |
| mountain goat | Noun | ଗରେ |
| mountain hawk eagle | Noun | IQR, ANE |
| mountain ranges | Noun | କାଲିୟି ମାନ୍ଦା, ମେଟ୍ଟା, ମାନ୍ଦାନଦ୍‌ |
| mourning | Verb | ନେସ୍‌ କି ନେସ୍‌ କି, ଗୁଣି ale ସି କେୟାନାଦ୍‌ |
| mouse | Noun | ସିଟିକାଲ୍‌ ACA |
| moustache | Noun | ମିସମ୍‌, ମିଶୋକ୍‌ |
| mouth | Noun | AIGA, ପାୟୁର |
| movable | Adjective | ଦ୍‌, ମେଦୁଲାନାଦ୍‌, AMIE, AGE! |
| move | Verb | @@1 GI, କୁଶ୍‌ ଶା, ଜାର୍‌ ଗା |
| mountain pass | Noun | ଞିରୋଦାମ୍‌ ତେ, @6QI@IE] ତେ |
| moving, shaking | Verb | ଓାଦ୍‌ ଓାଦ୍‌, ମିନ୍ଦେ |
| mow the grass | Verb | ଗାଡ଼୍‌ କୟ, ତାନାଦ୍‌ |
