| English Word | Part of Speech | Odiya Translation |
|--------------|-----------------|---------------------|
| ACAI | Noun | କାମ୍‌ ମାଡ଼ାନାଦ୍ |
| accordingly | Adverb | ଆଦିଙ୍କ୍‌ ଲେକେ |
| give up | Verb | ତୋପିସାନାଦ୍‌ |
| gladden by touch | Verb | ପ୍‌ |
| glamour | Noun | ରାମ୍ପ |
| glance | Noun | ଗାଜା |
| glass bottle | Noun | କାୟା, ସୀସା |
| glass, crystal | Noun | କାଞ୍ଚ |
| glittering | Adjective | ଜାଗ୍‌ |
| gloaming | Noun | ସିକାଡ଼୍‌, ଇକ୍‌ କାଡ଼୍‌ |
| gloomy | Adjective | କାମ୍‌ ମୁର୍ରୁମ୍‌ |
| glory | Noun | ମେଲ୍‌ ତା |
| glorious | Adjective | ଗାଟ୍‌ ଟି ମେଲ୍‌ ତାଦ୍‌ |
| glorify | Verb | ମେଲ୍‌ ତାଦ୍‌ |
| glutton | Noun | ଗାଦାର୍ ଲି |
| gnashing of teeth | Verb | ଆଲାମ୍‌ କାନାଦ୍‌ |
| gnat | Noun | ଦୋମେ |
| go | Verb, Noun | ଆନ୍‌ ଆନ୍ଦାନାଦ୍‌ |
| goa side | Verb | ପାନାତ୍‌ |
| go after | Verb | ମାଟା ପେର୍କେ ଆନ୍ଦାନାଦ୍‌ |
| go as a side | Adverb | ଏରିଆଦାନାଦ୍‌ |
| go away | Verb | ମିର୍ରାନାଦ୍‌ |
| goby | Verb | ଲେକାମେ ପାଡ଼ିୟ୍‌ |
| injo | Noun | କାମ୍‌ ମାଡ଼ାନାଦ୍‌ |
