| English Word | Part of Speech | Odia Translation |
| --- | --- | --- |
| a | Adjective&Article | ଅରୋଟ୍‌ |
| accordingly | Adverb | ଆଦିଙ୍କ୍‌ ଲେକେ |
| let | Verb | ସାରି,ଟିକେ, ଲୋପାଲ୍‌ ନିଗାନାଙ୍ଗ୍‌ |
| GRAIGIA | N/A | ଗ୍ରାଇଗିଆ |
| ESA | N/A | ଏସା |
| eat | Verb | ଖାଇବା, ଖାଦିବା |
| CRAIN | N/A | କ୍ରାଏନ୍‌ |
| down | Adverb | ନିଚେ, ପଡ଼ିବା |
| AG Al AIR | N/A | ଆଗ୍ ଆଲ୍ ଏର୍ |
| AAAI | N/A | ଆଆଆଇ |
| MIO | N/A | ମିଓ |
| ପିସାନାଦ୍‌ | Noun | ପିସାନାଦ୍‌ |
| ଜାରିସାନାଦ୍‌ | Noun | ଜାରିସାନାଦ୍‌ |
| letin | Verb | ଲୋପାଲ୍‌ ନିଗାନାଙ୍ଗ୍‌ |
| ୱଡ଼୍‌ | Noun | ୱଡ଼୍‌ |
| ସୀଦାନାଦ୍‌ | Noun | ସୀଦାନାଦ୍‌ |
| let off | Verb | ଛାଡ଼ିବା |
| ଞିତୃସି | N/A | ଞିତୃସି |
| let out | Verb | ପ୍ରକାଶ କରିବା, ଛାଡ଼ିବା |
| ବଡ଼ା | N/A | ବଡ଼ା |
| ଆଦ୍‌ ଭଦାନାଦ୍‌ | N/A | ଆଦ୍‌ ଭଦାନାଦ୍‌ |
| let us bring | Verb | ଆନ୍ତୁ ନେଇବା |
| ତାତିକାର୍‌ | N/A | ତାତିକାର୍‌ |
| ତାତିକାଡ଼୍‌ | N/A | ତାତିକାଡ଼୍‌ |
| let us dance | Verb | ନୃତ୍ୟ କରିବା |
| ଏନ୍ଦିକାଟ୍‌-ଆରିୟାନାଦ୍‌ | N/A | ଏନ୍ଦିକାଟ୍‌-ଆରି
