| English Word | Part of Speech | Odia Translation |
|--------------|----------------|-----------------|
| set free     | Verb           | ସିଦାନାଦ୍‌        |
| set in       | Verb           | ତଲ୍‌, ଆରମ୍ବ ତୁଙ୍ଗାନାଦ୍‌, ଲିନାଦ୍‌, ମଦଲିସାନାଦ୍‌ |
| set off, out | Verb           | ଦାୟାନାଦ୍‌, ପେୟ୍‌, ସି ଆନ୍ଦାନାଦ୍‌, ବାୟ୍‌ ଦେ ପେୟ୍‌, ତାନାଦ୍‌ |
| set self apart | Verb           | ସେରୁଞିର୍‌, ପିଭୋର୍‌ |
| setup        | Verb           | ତଲ୍‌ ଲିନ୍‌ AIGA, ତୁଙ୍ଗାନାଦ୍‌, ତେୟାର୍‌ ମାଡ଼ାନାଦ୍‌ |
| set upon     | Verb           | ୱାଡ଼୍‌ ସି ଆଦ୍‌, ରିସାନାଦ୍‌ |
| set, arrange | Verb           | ସାମାଙ୍ଗ୍‌ ମାଡ଼ାନାଦ୍‌ |
| settle       | Verb           | ମାଟା ତେର୍ସ୍‌ ପାନାଦ୍‌ |
| seven        | Numeral        | ଏଡ଼, ସାରୁ, ପାଦିସାଉୁ |
| seventy      | RS Numeral     | ଡାବେୟ ରୁପା    |
| sew, stitch  | Verb           | କୁଟ୍ଟାନାଦ୍‌ |
| shadow       | Noun           | ନୀତ୍‌ କା, ଗୋଲ୍‌ |
| shake off    | Verb           | ଭମ୍‌ ମିସାନାଦ୍‌ |
| shake out    | Transitive verb| ଦୁଲ୍‌ ପାନାଦ୍‌ |
| shake, rattle| Verb           | ମାରା ତ୍‌ କମ୍ମା, ଗୁଞ୍ଜାନାଦ୍‌, ଅଲାନାଦ୍‌, ଉତଭାନାଦ୍‌ |
| shaking      | Verb           | ଲୋନ୍‌ ଗିଲ୍‌ ଗାଲ୍‌, ଆଦାନାଦ୍‌ |
| shall we go? | Verb           | ଦାକାଡ଼ା?, ଦାୟ୍‌, କାଲା? |
| shallow      | Adjective      | ଏ
