|Word in English|Part of Speech|Odiya Translation|
|---------------|--------------|-----------------|
|kneel|Noun|କୁଦାନାଦ୍‌|
|kneel down|Verb|ମୋର୍‌ ମିଣ୍ଡା, ଉର୍ସକାଟ୍‌|
|knife|Noun|କାଚେର୍‌, ଜାଟ୍‌|
|knife cutting|Noun|କାଚେର୍‌ ତେଗ୍‌|
|knife,sword|Noun|ସୁର୍କାଚେର|
|knit,weave|Verb|ପିନୁ, ଆଲ୍‌ ଲାନାଦ୍‌|
|knock down|Verb|ଓାଡ଼୍‌ ସି, ରେତି, ନେଲ୍‌ସ ଞାଟାନାଦ୍‌|
|knock at|Verb|ଗୁମାମ୍‌, ମାର୍‌ ଦିନ୍‌, ରେତାନାଦ୍୍‌, ତାଲ୍‌ ସାନାଦ୍‌, ସାନାଦ୍‌|
|knock up|Verb|ଗୁମାମ୍‌ ତିନ୍‌ ଓାଡ଼୍‌, ସି, ତାଲ୍‌ ସି ଉଶ୍‌ କାଡ଼୍‌, ନୁଞ୍ଜିକୁଞ୍ଚି ତେତାନାଦ୍‌|
|knot|Noun|ଗାଟ୍‌, ମୁଲା|
|know|Noun|ପୁନ୍ଦାନାଦ୍‌|
|knowingly|Adverb|J& Q&|
|knowledge|Noun|ବୁଦି|
|kola man,priest|Noun|ପୁଜେର୍‌|
|Koya|Noun|କୋୟା, କୋୟିତଣ୍ତ, କୋୟ୍‌ GI, କୋୟା ଗଟ୍‌|
|Koya doctor|Noun|ଶରାନାରୁନ୍‌, IAPR, AIGSQ|
