| Word in English | Part of speech | Odiya Translation |
| --- | --- | --- |
| button | Noun | କୁସାମ୍‌ ବିଲା |
| buy | Verb | ଆଶ୍‌ ଶାନାଦ୍‌ |
| by | Preposition | ଟୋଣ୍ଡେ |
| by chance | Adverb | ଜତି ଆକେ |
| by day | Preposition | ପାୟାଲେ |
| cabbage | Noun | ମୁଟ୍‌ ଲା କୋବି, କବି, ପୁଲ |
| cabin ate ware | Noun | ଞେର୍‌ କିନ୍‌, ସାମାନ୍‌ |
| cacophony | Noun | କେଞ୍ଜାନାଙ୍କ୍‌, କାରାପ୍‌ CAG |
| cactus | Noun | ବାଲା, ଏଟ୍‌ କ୍‌ |
| calabash vegetables | Noun | ଜାଙ୍ଗ୍‌, କାୟା |
| calamity | Noun | ସାଟ୍‌ କେ, ନାଷ୍ଟାମ୍‌, କାଷ୍ଟାମ୍‌ ଏାଦାନାଦ୍‌, କାଷ୍ଟାମ୍‌ ଞାଦାନାଦ୍‌ |
| calf | Noun | ପେୟ୍‌ ୟା ପିଲ୍‌ ଲା |
| call | Verb | କାରୁଙ୍କାନାଦ୍‌, ରାମ୍ ତୁଙ୍ଗାନାଦ୍‌ |
| call at, call on, call upon | Verb | ସୁଡ଼ୂଟ୍‌ ସାମାୟାମ୍‌, ସେଙ୍ଗେ କାଲିୟାନାଙ୍କ୍‌, ଆନ୍ଦାନାଦ୍‌ |
| callin | Verb | କାର୍‌ ଘିଂସାନାଦ୍‌ |
| call out | Verb | ବେଢ଼ିୟା EME ତେ, କାର୍‌ ଙ୍ଗାନାଦ୍‌ |
| callup | Verb | ଏଦ୍‌ କି, ତୁଙ୍ଗିଦାନାଦ୍‌, ମାଡ଼ାନାଦ୍‌ |
| calm | Adjective | ସାମ୍‌ କ୍‌, କଟ୍ଟ, ମାନ୍ଦାନାଦ୍‌ |
| caltrops tree | Noun | ବଗ ଜିଲ୍ଲା ଢ୍ୟୁରେ |
| camel | Noun | ଲୋଟପିଟେ |
